date,prev_date,call_in,call_out,call_net,call_expired,call_total,put_in,put_out,put_net,put_expired,put_total
2026-04-23,2026-04-22,53625,11067,42558,56035,1412692,24434,3085,21349,26619,825174
2026-04-24,2026-04-23,71809,14162,57647,0,1470339,40243,5098,35145,0,860319
2026-04-27,2026-04-24,134629,36741,97888,164751,1564598,44690,6107,38583,122572,862329
2026-04-28,2026-04-27,62125,7353,54772,56205,1563165,42862,2345,40517,31750,871096
2026-04-29,2026-04-28,88513,14974,73539,0,1637375,62545,3711,58834,0,930018
2026-04-30,2026-04-29,234494,61021,173473,2722,1808581,143083,9436,133647,843,1065250
2026-05-01,2026-04-30,147222,96153,51069,0,1859650,59004,33160,25844,0,1091094
2026-05-04,2026-05-01,83447,14544,68903,309365,1619554,39970,9104,30866,195087,927201
2026-05-05,2026-05-04,155761,16762,138999,40309,1718244,52280,6873,45407,25499,947109
2026-05-06,2026-05-05,68701,23164,45537,0,1764871,36944,7745,29199,0,976601
2026-05-07,2026-05-06,57234,19721,37513,54448,1748600,25766,4661,21105,24212,974863
2026-05-08,2026-05-07,62475,15443,47032,0,1795632,38200,4294,33906,0,1008769
2026-05-11,2026-05-08,48148,9131,39017,196382,1638368,43922,5836,38086,103366,943562
2026-05-12,2026-05-11,54624,11987,42637,27886,1653119,28929,3157,25772,22696,946638
2026-05-13,2026-05-12,57206,25181,32025,0,1685782,30129,7213,22916,0,975146
2026-05-14,2026-05-13,46370,11286,35084,41955,1679891,23849,4516,19333,26567,969034
2026-05-15,2026-05-14,63836,18431,45405,0,1725296,27580,5341,22239,0,991273
2026-05-18,2026-05-15,65551,3089,62462,504692,1283066,48219,1329,46890,322817,715346
2026-05-19,2026-05-18,74722,9764,64958,32271,1315753,41837,1170,40667,22222,733791
2026-05-20,2026-05-19,124491,14924,109567,0,1425683,37276,7797,29479,0,766096
2026-05-21,2026-05-20,39694,13504,26190,52098,1402695,19829,2319,17510,29319,755646
2026-05-22,2026-05-21,53577,8642,44935,0,1447630,46524,4299,42225,0,797871
2026-05-26,2026-05-22,70348,2905,67443,141524,1545352,26459,2635,23824,79173,915732
2026-05-27,2026-05-26,80401,12574,67827,30235,1582944,34880,3276,31604,21686,925650
2026-05-28,2026-05-27,79568,11859,67709,29141,1625125,22198,6598,15600,11607,929944
2026-05-29,2026-05-28,72263,10524,61739,0,1686864,32991,6364,26627,0,956571
2026-06-01,2026-05-29,50904,14375,36529,146205,1577398,29541,1019,28522,82557,904540
2026-06-02,2026-06-01,78702,12325,66377,25433,1618342,55878,3075,52803,16172,941171
2026-06-03,2026-06-02,97716,13171,84545,0,1703197,40186,7362,32824,0,974347
2026-06-04,2026-06-03,141950,42367,99583,47832,1756468,62609,18938,43671,20814,998011
2026-06-05,2026-06-04,42261,20458,21803,0,1778271,26013,13501,12512,0,1010523
2026-06-08,2026-06-05,125636,88041,37595,146243,1670061,65986,3025,62961,82128,991429
2026-06-09,2026-06-08,51043,12399,38644,29395,1679310,39880,9893,29987,26185,995231
2026-06-10,2026-06-09,76269,35515,40754,0,1720906,37164,11267,25897,0,1022472
2026-06-11,2026-06-10,65895,17056,48839,35625,1734386,25225,19966,5259,22021,1005925
2026-06-12,2026-06-11,78636,26207,52429,0,1786815,25894,14693,11201,0,1017126
2026-06-15,2026-06-12,112246,18857,93389,139558,1740814,38646,6041,32605,58830,991062
2026-06-16,2026-06-15,55881,16571,39310,32650,1747474,23766,7468,16298,17366,989994
2026-06-17,2026-06-16,56295,8334,47961,0,1795894,31676,8045,23631,0,1014865
2026-06-18,2026-06-17,81400,6031,75369,46164,1825099,32971,36526,-3555,18270,993040
2026-06-22,2026-06-18,99159,4687,94472,678710,1241886,34530,4494,30036,353063,670211
2026-06-23,2026-06-22,131697,8053,123644,31223,1381738,54496,7413,47083,15575,750707
2026-06-24,2026-06-23,96747,9322,87425,0,1470692,31501,6643,24858,0,775906
2026-06-25,2026-06-24,62690,27263,35427,48694,1457926,29986,4164,25822,23131,779127
2026-06-26,2026-06-25,98156,24842,73314,0,1531240,60189,36177,24012,0,803139
2026-06-29,2026-06-26,58492,10667,47825,171422,1408575,33417,2190,31227,65844,769310
2026-06-30,2026-06-29,113819,17411,96408,29180,1475803,42052,3608,38444,18583,789171
2026-07-01,2026-06-30,98868,5656,93212,0,1571340,30629,8352,22277,0,812929
2026-07-02,2026-07-01,58006,22897,35109,60441,1546220,29271,3255,26016,33173,805966
2026-07-06,2026-07-02,58440,16649,41791,118579,1469432,25603,3323,22280,59853,768393
2026-07-07,2026-07-06,90898,13898,77000,30402,1516346,33129,2559,30570,21932,777059
2026-07-08,2026-07-07,44684,14915,29769,0,1546398,26958,3562,23396,0,800752
2026-07-09,2026-07-08,25101,9547,15554,45154,1517142,15345,4367,10978,18731,793072
2026-07-10,2026-07-09,61942,13732,48210,0,1565352,26393,5346,21047,0,814119
