date,prev_date,call_in,call_out,call_net,call_expired,call_total,put_in,put_out,put_net,put_expired,put_total
2026-04-23,2026-04-22,43295,7476,35819,0,671047,36076,2377,33699,0,591294
2026-04-24,2026-04-23,15309,5384,9925,0,680972,35004,2615,32389,0,623683
2026-04-27,2026-04-24,26629,5196,21433,74606,653354,60367,4061,56306,113951,590914
2026-04-28,2026-04-27,19591,3087,16504,0,669858,24677,673,24004,0,614918
2026-04-29,2026-04-28,21641,2837,18804,0,688662,16710,6565,10145,0,625063
2026-04-30,2026-04-29,29605,5831,23774,0,712436,15653,3973,11680,0,636743
2026-05-01,2026-04-30,19089,3708,15381,0,727817,29886,4560,25326,0,662069
2026-05-04,2026-05-01,20134,4054,16080,96028,647869,45408,2313,43095,172716,532448
2026-05-05,2026-05-04,23511,4949,18562,0,666489,25218,1938,23280,0,556818
2026-05-06,2026-05-05,15753,3142,12611,0,679100,15386,1894,13492,0,570310
2026-05-07,2026-05-06,21252,9295,11957,0,691057,21654,6657,14997,0,585307
2026-05-08,2026-05-07,47458,5107,42351,0,733408,98889,12997,85892,0,671199
2026-05-11,2026-05-08,64018,14011,50007,135256,648159,73621,2197,71424,169213,573410
2026-05-12,2026-05-11,20162,8503,11659,0,660182,31496,1916,29580,0,603390
2026-05-13,2026-05-12,26125,7143,18982,0,679164,29759,5279,24480,0,627870
2026-05-14,2026-05-13,16290,6051,10239,0,689403,11870,2365,9505,0,637375
2026-05-15,2026-05-14,37486,21577,15909,0,705312,67719,17688,50031,0,687406
2026-05-18,2026-05-15,17380,3086,14294,200635,518971,38721,1999,36722,305440,418688
2026-05-19,2026-05-18,30519,6031,24488,0,543459,41542,3683,37859,0,456547
2026-05-20,2026-05-19,24283,2608,21675,0,565134,36502,2727,33775,0,490322
2026-05-21,2026-05-20,29459,1106,28353,0,593487,45392,1674,43718,0,534040
2026-05-22,2026-05-21,36762,6903,29859,0,623346,28266,8299,19967,0,554007
2026-05-26,2026-05-22,16034,1146,14888,81906,626366,41361,993,40368,128396,524977
2026-05-27,2026-05-26,35442,2324,33118,0,659569,30547,3152,27395,0,553788
2026-05-28,2026-05-27,18331,2888,15443,0,675012,39035,1781,37254,0,591042
2026-05-29,2026-05-28,25231,6275,18956,0,693968,46532,19239,27293,0,618335
2026-06-01,2026-05-29,59679,1770,57909,75012,676865,42223,577,41646,131236,528805
2026-06-02,2026-06-01,82162,42752,39410,0,716275,27530,8155,19375,0,548180
2026-06-03,2026-06-02,16285,16616,-331,0,715944,26586,2251,24335,0,572515
2026-06-04,2026-06-03,22892,6812,16080,0,732024,37923,3610,34313,0,606828
2026-06-05,2026-06-04,22775,12370,10405,0,742429,25657,5284,20373,0,627201
2026-06-08,2026-06-05,25680,8642,17038,114948,644774,39930,2471,37459,144620,520105
2026-06-09,2026-06-08,51798,5270,46528,0,691302,18652,2377,16275,0,536380
2026-06-10,2026-06-09,17780,7043,10737,0,702039,45611,4099,41512,0,577892
2026-06-11,2026-06-10,25223,3485,21738,0,723777,10925,3995,6930,0,584822
2026-06-12,2026-06-11,31047,6178,24869,0,748646,31530,11872,19658,0,604480
2026-06-15,2026-06-12,32618,8516,24102,78096,694652,29955,1204,28751,76830,556449
2026-06-16,2026-06-15,21834,8294,13540,0,708192,23424,1456,21968,0,578417
2026-06-17,2026-06-16,44534,20764,23770,0,731962,32831,7923,24908,0,603325
2026-06-18,2026-06-17,13661,13287,374,0,732336,28200,2816,25384,0,628709
2026-06-22,2026-06-18,24419,2339,22080,407369,347047,32573,454,32119,302372,358456
2026-06-23,2026-06-22,17913,2010,15903,0,409930,46324,1174,45150,0,432230
2026-06-24,2026-06-23,15316,3619,11697,0,421627,23337,3506,19831,0,452061
2026-06-25,2026-06-24,19480,7427,12053,0,433680,19805,3304,16501,0,468562
2026-06-26,2026-06-25,20761,4252,16509,0,450189,19661,7546,12115,0,480677
2026-06-29,2026-06-26,18716,1920,16796,64083,402934,24224,1437,22787,109047,394496
2026-06-30,2026-06-29,35262,6086,29176,0,432110,21173,4761,16412,0,410908
2026-07-01,2026-06-30,27770,1873,25897,0,458007,11757,2200,9557,0,420465
2026-07-02,2026-07-01,92822,4428,88394,0,546401,40506,18538,21968,0,442433
2026-07-06,2026-07-02,38646,2472,36174,84608,497967,34658,2429,32229,55762,418900
2026-07-07,2026-07-06,23907,3692,20215,0,518371,14209,3624,10585,0,429683
2026-07-08,2026-07-07,18076,4391,13685,0,532056,29366,8164,21202,0,450885
2026-07-09,2026-07-08,16160,6762,9398,0,541454,9619,7936,1683,0,452568
2026-07-10,2026-07-09,16629,7354,9275,0,550729,8437,7180,1257,0,453825
2026-07-13,2026-07-10,27883,1885,25998,75063,501745,14394,1089,13305,51201,415956
2026-07-14,2026-07-13,31989,2469,29520,0,531265,18345,8406,9939,0,425895
2026-07-15,2026-07-14,29091,8267,20824,0,552089,44585,7273,37312,0,463207
2026-07-16,2026-07-15,51487,5577,45910,0,597999,51394,14373,37021,0,500228
2026-07-17,2026-07-16,53381,5366,48015,0,646014,19526,39609,-20083,0,480145
2026-07-20,2026-07-17,58067,2856,55211,227653,473572,14911,1396,13515,137864,355796
2026-07-21,2026-07-20,23328,2960,20368,0,493940,14500,1857,12643,0,368439
2026-07-22,2026-07-21,21336,2745,18591,0,512531,13789,1788,12001,0,380440
2026-07-23,2026-07-22,18788,14713,4075,0,516606,10956,2782,8174,0,388614
2026-07-24,2026-07-23,8557,3824,4733,0,521339,11317,4357,6960,0,395574
2026-07-27,2026-07-24,24214,3911,20303,72926,496190,22025,1446,20579,43415,403489
2026-07-28,2026-07-27,23802,639,23163,0,519353,17086,4006,13080,0,416569
2026-07-29,2026-07-28,52011,3373,48638,0,567991,25362,7397,17965,0,434534
2026-07-30,2026-07-29,43492,186071,-142579,0,425412,24825,151932,-127107,0,307427
2026-07-31,2026-07-30,34033,2264,31769,0,561350,30939,1477,29462,0,424918
2026-08-03,2026-07-31,153533,11554,141979,0,703405,36459,6983,29476,0,454680
2026-08-04,2026-08-03,4182,579623,-575441,0,127964,5207,317266,-312059,0,142621
2026-08-05,2026-08-04,11480,6868,4612,0,740488,15352,7790,7562,0,481241
2026-08-06,2026-08-05,7974,168462,-160488,0,580000,7369,138250,-130881,0,350360
2026-08-07,2026-08-06,0,0,0,0,659538,0,0,0,0,402161
2026-08-10,2026-08-07,3950,436154,-432204,0,261540,5380,344494,-339114,0,82595
2026-08-11,2026-08-10,9869,495571,-485702,0,227633,23337,315677,-292340,0,152963
2026-08-12,2026-08-11,8460,584157,-575697,0,182775,17403,375185,-357782,0,154635
2026-08-13,2026-08-12,20383,222177,-201794,0,126937,65470,76696,-11226,0,121977
2026-08-14,2026-08-13,0,0,0,0,658716,0,0,0,0,407359
