date,spot,put_wall,call_wall,pcr_oi,pcr_vol,atm_iv,gex_total_bn,gamma_flip,dex_total_bn,pcr_dollar,vrp21,iv_backwardation,max_pain_near,occ_customer_pcr,occ_firm_share
2026-04-22,122.54,120.0,130.0,0.878,,,,,,,,,105.0,,
2026-04-23,117.42,100.0,130.0,0.881,,,,,,,,,110.0,,
2026-04-24,110.14,100.0,120.0,0.918,,,,,,,,,105.0,,
2026-04-27,112.06,100.0,120.0,0.904,,,,,,,,,108.0,,
2026-04-28,105.53,100.0,110.0,0.918,,,,,,,,,108.0,,
2026-04-29,114.19,100.0,130.0,0.908,,,,,,,,,106.0,,
2026-04-30,111.6,100.0,120.0,0.894,,,,,,,,,108.0,,
2026-05-01,119.01,105.0,130.0,0.91,,,,,,,,,110.0,,
2026-05-04,125.43,120.0,130.0,0.823,,,,,,,,,110.0,,
2026-05-05,127.89,120.0,130.0,0.835,,,,,,,,,110.0,,
2026-05-06,137.98,120.0,150.0,0.84,,,,,,,,,110.0,,
2026-05-07,128.84,120.0,130.0,0.847,,,,,,,,,110.0,,
2026-05-08,114.15,100.0,130.0,0.915,,,,,,,,,105.0,,
2026-05-11,114.7,100.0,130.0,0.885,,,,,,,,,108.0,,
2026-05-12,107.75,100.0,120.0,0.914,,,,,,,,,110.0,,
2026-05-13,111.31,100.0,120.0,0.924,,,,,,,,,109.0,,
2026-05-14,114.22,100.0,130.0,0.925,,,,,,,,,109.0,,
2026-05-15,107.3,100.0,120.0,0.975,,,,,,,,,112.0,,
2026-05-18,103.77,100.0,105.0,0.807,,,,,,,,,111.0,,
2026-05-19,99.81,90.0,100.0,0.84,,,,,,,,,110.0,,
2026-05-20,101.28,100.0,105.0,0.868,,,,,,,,,107.0,,
2026-05-21,107.58,100.0,120.0,0.9,,,,,,,,,105.0,,
2026-05-22,105.49,100.0,120.0,0.884,,,,,,,,,106.0,,
2026-05-26,105.89,100.0,120.0,0.84,,,,,,,,,106.0,,
2026-05-27,104.27,100.0,110.0,0.84,,,,,,,,,106.0,,
2026-05-28,106.86,100.0,120.0,0.876,,,,,,,,,105.0,,
2026-05-29,109.53,100.0,120.0,0.891,,,,,,,,,106.0,,
2026-06-01,124.82,115.0,130.0,0.781,,,,,,,,,106.0,,
2026-06-02,119.27,115.0,120.0,0.765,,,,,,,,,109.0,,
2026-06-03,110.93,100.0,120.0,0.8,,,,,,,,,110.0,,
2026-06-04,108.03,100.0,120.0,0.829,,,,,,,,,110.0,,
2026-06-05,100.39,100.0,105.0,0.845,,,,,,,,,110.0,,
2026-06-08,102.37,100.0,110.0,0.807,,,,,,,,,109.0,,
2026-06-09,98.45,90.0,100.0,0.776,,,,,,,,,106.0,,
2026-06-10,95.61,90.0,100.0,0.823,,,,,,,,,105.0,,
