date,prev_date,call_in,call_out,call_net,call_expired,call_total,put_in,put_out,put_net,put_expired,put_total
2026-04-23,2026-04-22,14850,3806,11044,0,254928,15442,999,14443,0,199445
2026-04-24,2026-04-23,7139,3999,3140,0,258068,6153,4897,1256,0,200701
2026-04-27,2026-04-24,7800,668,7132,15570,249630,3453,1947,1506,43086,159121
2026-04-28,2026-04-27,8577,2288,6289,0,255919,7701,263,7438,0,168353
2026-04-29,2026-04-28,5230,358,4872,0,260791,5490,706,4784,0,173137
2026-04-30,2026-04-29,1690,25248,-23558,0,237233,12722,2606,10116,0,183253
2026-05-01,2026-04-30,4189,9918,-5729,0,231504,10206,1006,9200,0,192453
2026-05-04,2026-05-01,8301,4671,3630,17188,217946,24874,614,24260,36858,179855
2026-05-05,2026-05-04,8346,8574,-228,0,218419,20538,296,20242,0,202227
2026-05-06,2026-05-05,26915,9419,17496,0,235915,20904,1281,19623,0,221850
2026-05-07,2026-05-06,10808,5586,5222,0,241137,31138,3601,27537,0,249387
2026-05-08,2026-05-07,5674,7296,-1622,0,239515,26224,1840,24384,0,273771
2026-05-11,2026-05-08,24974,10896,14078,11676,241917,49362,1924,47438,50319,270890
2026-05-12,2026-05-11,10364,3417,6947,0,249494,42573,1493,41080,0,314313
2026-05-13,2026-05-12,21983,8654,13329,0,262823,34353,8911,25442,0,339755
2026-05-14,2026-05-13,8827,10168,-1341,0,261482,108291,4120,104171,0,443926
2026-05-15,2026-05-14,6708,8634,-1926,0,259556,56197,6743,49454,0,493380
2026-05-18,2026-05-15,3913,1433,2480,76254,185782,84863,2001,82862,146307,429935
2026-05-19,2026-05-18,4365,1678,2687,0,188469,70597,5926,64671,0,494606
2026-05-20,2026-05-19,8740,1496,7244,0,195713,21306,14673,6633,0,501239
2026-05-21,2026-05-20,7405,1352,6053,0,201766,7944,8079,-135,0,501104
2026-05-22,2026-05-21,5660,1659,4001,0,205767,89894,9141,80753,0,581857
2026-05-26,2026-05-22,4162,2371,1791,23060,184498,72119,1298,70821,136450,516228
