date,spot,put_wall,call_wall,pcr_oi,pcr_vol,atm_iv,gex_total_bn,gamma_flip,dex_total_bn,pcr_dollar,vrp21,iv_backwardation,max_pain_near,occ_customer_pcr,occ_firm_share
2026-04-22,155.8,135.0,160.0,0.759,,,,,,,,,142.5,,
2026-04-23,150.59,130.0,160.0,0.782,,,,,,,,,145.0,,
2026-04-24,154.57,135.0,160.0,0.778,,,,,,,,,143.0,,
2026-04-27,156.73,135.0,160.0,0.645,,,,,,,,,145.0,,
2026-04-28,154.37,135.0,160.0,0.658,,,,,,,,,150.0,,
2026-04-29,153.96,140.0,160.0,0.664,,,,,,,,,150.0,,
2026-04-30,160.76,140.0,170.0,0.772,,,,,,,,,152.0,,
2026-05-01,162.0,140.0,170.0,0.831,,,,,,,,,150.0,,
2026-05-04,163.59,140.0,170.0,0.832,,,,,,,,,157.0,,
2026-05-05,173.47,150.0,180.0,0.926,,,,,,,,,157.0,,
2026-05-06,181.98,165.0,200.0,0.94,,,,,,,,,160.0,,
2026-05-07,176.75,165.0,180.0,1.034,,,,,,,,,162.0,,
2026-05-08,190.2,165.0,200.0,1.143,,,,,,,,,150.0,,
2026-05-11,192.85,165.0,200.0,1.127,,,,,,,,,155.0,,
2026-05-12,178.5,160.0,200.0,1.26,,,,,,,,,160.0,,
2026-05-13,188.63,175.0,200.0,1.293,,,,,,,,,160.0,,
2026-05-14,190.52,175.0,200.0,1.698,,,,,,,,,160.0,,
2026-05-15,178.86,160.0,180.0,1.901,,,,,,,,,173.0,,
2026-05-18,176.1,160.0,180.0,2.314,,,,,,,,,175.0,,
2026-05-19,174.02,160.0,180.0,2.624,,,,,,,,,173.0,,
2026-05-20,180.11,160.0,200.0,2.561,,,,,,,,,173.0,,
2026-05-21,186.42,160.0,200.0,2.484,,,,,,,,,170.0,,
2026-05-22,182.03,160.0,200.0,2.828,,,,,,,,,175.0,,
2026-05-26,200.65,175.0,210.0,2.792,,,,,,,,,177.0,,
2026-05-27,198.29,175.0,220.0,2.722,,,,,,,,,176.0,,
2026-05-28,206.41,180.0,220.0,2.811,,,,,,,,,180.0,,
2026-05-29,205.83,182.5,210.0,2.822,,,,,,,,,190.0,,
2026-06-01,216.7,200.0,220.0,2.658,,,,,,,,,190.0,,
2026-06-02,214.53,182.5,220.0,2.675,,,,,,,,,197.0,,
2026-06-03,212.96,182.5,220.0,2.679,,,,,,,,,197.0,,
2026-06-04,203.97,182.5,220.0,2.741,,,,,,,,,197.0,,
2026-06-05,175.19,155.0,180.0,2.643,,,,,,,,,200.0,,
2026-06-08,185.64,160.0,210.0,2.426,,,,,,,,,192.0,,
2026-06-09,184.05,160.0,210.0,2.321,,,,,,,,,192.0,,
2026-06-10,178.45,160.0,200.0,2.26,,,,,,,,,192.0,,
2026-06-11,198.94,180.0,220.0,2.281,,,,,,,,,190.0,,
2026-06-12,197.45,180.0,220.0,2.183,,,,,,,,,180.0,,
2026-06-15,211.45,180.0,220.0,1.923,,,,,,,,,180.0,,
2026-06-16,205.91,180.0,220.0,2.032,,,,,,,,,180.0,,
2026-06-17,205.08,180.0,220.0,2.065,,,,,,,,,180.0,,
2026-06-18,219.2,200.0,220.0,2.146,,,,,,,,,195.0,,
2026-06-22,219.02,200.0,220.0,1.825,,,,,,,,,200.0,,
2026-06-23,192.2,165.0,220.0,1.923,,,,,,,,,207.5,,
2026-06-24,197.26,170.0,220.0,1.963,,,,,,,,,200.0,,
2026-06-25,205.0,190.0,220.0,1.936,,,,,,,,,197.0,,
2026-06-26,197.28,170.0,220.0,2.006,,,,,,,,,205.0,,
2026-06-29,197.5,170.0,220.0,1.951,,,,,,,,,202.5,,
2026-06-30,201.9,190.0,220.0,2.024,,,,,,,,,200.0,,
2026-07-01,185.5,170.0,200.0,2.072,,,,,,,,,200.0,,
2026-07-02,180.14,170.0,200.0,2.132,,,,,,,,,190.0,,
2026-07-06,189.85,170.0,200.0,1.941,,,,,,,,,190.0,,
2026-07-07,181.29,170.0,200.0,1.977,,,,,,,,,190.0,,
2026-07-08,182.72,170.0,200.0,2.066,,,,,,,,,185.0,,
2026-07-09,184.75,170.0,200.0,1.933,,,,,,,,,180.0,,
2026-07-10,183.52,170.0,200.0,1.734,,,,,,,,,180.0,,
2026-07-13,168.02,165.0,180.0,1.585,,,,,,,,,180.0,,
2026-07-14,176.98,170.0,200.0,1.48,,,,,,,,,175.0,,
2026-07-15,171.64,170.0,190.0,1.523,,,,,,,,,175.0,,
2026-07-16,163.36,150.0,180.0,1.54,,,,,,,,,173.0,,
2026-07-17,162.54,150.0,180.0,1.572,,,,,,,,,175.0,,
2026-07-20,162.86,145.0,180.0,1.935,,,,,,,,,170.0,,
2026-07-21,172.9,160.0,190.0,1.962,,,,,,,,,169.0,,
2026-07-22,170.43,145.0,190.0,2.033,,,,,,,,,166.0,,
2026-07-23,173.86,150.0,190.0,1.923,,,,,,,,,165.0,,
2026-07-24,162.96,145.0,170.0,1.997,,,,,,,,,183.0,,
2026-07-27,161.2,145.0,170.0,1.497,,,,,,,,,179.0,,
2026-07-28,151.45,145.0,170.0,1.476,,,,,,,,,173.0,,
2026-07-29,144.21,140.0,165.0,1.295,,,,,,,,,170.0,,
2026-07-30,157.1,140.0,165.0,0.893,0.713,0.8169,-0.02,,0.38,0.652,0.0521,0.0902,160.0,0.554,0.108
2026-07-31,160.24,140.0,180.0,0.961,1.509,0.7182,-0.02,180.41,0.12,1.005,-0.0482,0.0261,160.0,0.519,0.209
2026-08-03,,,,1.093,3.298,2.3906,0.0,,0.0,0.722,1.6242,1.6676,158.0,0.931,0.2643
2026-08-04,169.14,150.0,180.0,1.093,3.298,0.7647,0.02,159.42,-0.8,0.722,-0.0018,0.0769,158.0,0.822,0.2079
2026-08-05,164.12,150.0,180.0,1.233,1.971,0.6011,-0.02,170.72,-0.07,0.658,-0.1697,-0.0272,160.0,1.721,0.2869
2026-08-06,166.09,150.0,180.0,1.151,0.971,0.579,0.01,162.94,-0.17,0.468,-0.192,0.0148,165.0,1.067,0.1639
2026-08-07,163.12,150.0,180.0,1.207,1.055,0.4636,-0.02,171.11,0.12,0.351,-0.3087,-0.0826,165.0,1.196,0.1806
2026-08-10,167.24,150.0,180.0,1.189,1.701,0.4906,0.01,164.44,-0.29,0.385,-0.2267,-0.0294,165.0,0.73,0.1063
2026-08-11,175.87,160.0,190.0,1.066,1.17,0.5148,0.01,169.34,-0.37,0.306,-0.2011,-0.0052,100.0,0.905,0.2133
2026-08-12,178.62,160.0,180.0,1.176,1.486,0.3912,0.02,168.66,-0.55,0.312,-0.3178,-0.0736,100.0,0.473,0.217
2026-08-13,179.74,160.0,180.0,0.953,0.672,0.438,0.06,155.95,-1.78,0.214,-0.246,-0.0693,170.0,0.615,0.0701
2026-08-14,171.79,150.0,180.0,1.005,1.191,0.3937,0.0,170.95,-0.71,0.651,-0.3113,-0.1354,170.0,0.6,0.123
2026-08-17,170.05,150.0,180.0,1.005,0.509,0.5476,-0.01,171.9,-0.43,0.231,-0.2096,0.0089,170.0,0.482,0.1587
2026-08-18,174.43,150.0,180.0,0.887,0.632,0.4693,0.05,166.34,-1.58,1.351,-0.2638,-0.0352,170.0,0.55,0.1228
2026-08-19,178.16,160.0,180.0,0.889,0.979,0.4276,0.08,161.05,-2.14,0.857,-0.3068,-0.0648,170.0,0.942,0.0922
2026-08-20,178.34,160.0,180.0,0.683,1.254,0.4846,0.07,,-1.8,0.595,-0.247,-0.0342,172.5,0.907,0.2257
2026-08-21,173.64,150.0,180.0,0.719,0.789,0.4636,0.03,158.73,-1.26,0.552,-0.2359,-0.0548,173.0,0.787,0.1721
2026-08-24,180.15,160.0,200.0,0.717,0.859,0.5253,0.08,,-2.05,0.464,-0.1818,0.0112,172.5,1.576,0.112
2026-08-25,179.18,160.0,180.0,0.718,0.725,0.4669,0.08,,-1.91,0.159,-0.1977,-0.0301,171.0,0.789,0.0998
2026-08-26,182.14,160.0,200.0,0.724,1.056,0.3857,0.09,,-2.19,0.357,-0.246,-0.0659,170.0,0.478,0.1165
2026-08-27,180.86,160.0,200.0,0.711,2.327,0.3441,0.07,,-1.88,0.581,-0.1736,-0.0923,170.0,0.413,0.1017
2026-08-28,180.86,160.0,200.0,0.711,2.327,0.3678,0.07,,-1.87,0.581,-0.1388,-0.0716,170.0,1.077,0.1877
2026-08-31,175.8,150.0,180.0,0.777,0.835,0.4571,0.04,164.56,-1.19,0.247,-0.0626,0.0107,170.0,1.657,0.2934
2026-09-01,178.48,155.0,180.0,0.783,0.706,0.3915,0.07,164.19,-1.47,0.267,-0.0786,-0.0486,170.0,0.343,0.1322
