date,prev_date,call_in,call_out,call_net,call_expired,call_total,put_in,put_out,put_net,put_expired,put_total
2026-04-23,2026-04-22,31728,11634,20094,33619,702436,22599,2687,19912,20722,599318
2026-04-24,2026-04-23,33729,3990,29739,0,732175,37541,1474,36067,0,635385
2026-04-27,2026-04-24,69603,12560,57043,69252,772645,26268,18640,7628,67663,625034
2026-04-28,2026-04-27,68203,13841,54362,31239,795768,27686,4950,22736,16829,630941
2026-04-29,2026-04-28,34995,18831,16164,0,812024,34153,1637,32516,0,663878
2026-04-30,2026-04-29,92115,6992,85123,0,897332,75775,4309,71466,0,736248
2026-05-01,2026-04-30,167436,59770,107666,0,1004998,79622,16407,63215,0,799463
2026-05-04,2026-05-01,78086,58071,20015,165469,860328,38828,6188,32640,121610,710677
2026-05-05,2026-05-04,38329,10835,27494,31352,856470,41291,1335,39956,27180,723453
2026-05-06,2026-05-05,32385,9556,22829,0,881519,28800,6036,22764,0,747030
2026-05-07,2026-05-06,69995,17701,52294,30753,903487,32851,6343,26508,22923,751493
2026-05-08,2026-05-07,97294,20105,77189,0,980676,25281,5342,19939,0,771432
2026-05-11,2026-05-08,28881,52595,-23714,113320,844088,29113,2096,27017,84558,714277
2026-05-12,2026-05-11,36593,5461,31132,12582,862638,41686,1305,40381,17305,737353
2026-05-13,2026-05-12,36207,9697,26510,0,889815,22362,2050,20312,0,759561
2026-05-14,2026-05-13,34396,7296,27100,27932,889024,18518,4062,14456,15930,759594
2026-05-15,2026-05-14,37384,8279,29105,0,918129,34901,1912,32989,0,792583
2026-05-18,2026-05-15,49215,3859,45356,278612,684873,30475,1263,29212,248136,573659
2026-05-19,2026-05-18,46569,5121,41448,16006,710315,33520,2979,30541,13973,590227
2026-05-20,2026-05-19,58787,6133,52654,0,766636,38884,2209,36675,0,629361
2026-05-21,2026-05-20,39181,9626,29555,47083,750939,35515,4483,31032,26268,635304
2026-05-22,2026-05-21,38404,7280,31124,0,782063,21231,5300,15931,0,651235
2026-05-26,2026-05-22,38239,1804,36435,106660,819073,37516,4345,33171,72211,731964
2026-05-27,2026-05-26,62217,4978,57239,17989,858323,21639,2500,19139,11904,739199
2026-05-28,2026-05-27,24023,11035,12988,13014,859436,21349,2324,19025,13025,745611
2026-05-29,2026-05-28,22977,2319,20658,0,880094,18010,5007,13003,0,758614
2026-06-01,2026-05-29,62380,2214,60166,92379,848089,57956,2126,55830,55834,758914
2026-06-02,2026-06-01,44038,6811,37227,19582,865734,23256,2197,21059,10839,769134
2026-06-03,2026-06-02,105426,14841,90585,0,956562,66250,6122,60128,0,829362
2026-06-04,2026-06-03,64750,6700,58050,46429,968695,31875,5019,26856,25843,830610
2026-06-05,2026-06-04,44006,15446,28560,0,997255,24525,4568,19957,0,850567
2026-06-08,2026-06-05,34438,17201,17237,102220,912438,39958,1614,38344,67845,821101
2026-06-09,2026-06-08,107747,8922,98825,19292,991971,34626,6030,28596,10306,839391
2026-06-10,2026-06-09,35745,45721,-9976,0,982539,32602,12245,20357,0,860245
2026-06-11,2026-06-10,28400,5650,22750,32707,972625,16367,8391,7976,15288,852933
2026-06-12,2026-06-11,65826,11329,54497,0,1027122,33416,20550,12866,0,865799
2026-06-15,2026-06-12,35563,4306,31257,90719,967927,25306,2381,22925,47732,841282
2026-06-16,2026-06-15,33379,9104,24275,20184,972018,19868,6117,13751,13327,841706
2026-06-17,2026-06-16,33235,6490,26745,0,998993,16795,4392,12403,0,854640
2026-06-18,2026-06-17,26916,10241,16675,29692,985976,13866,9681,4185,14192,844633
2026-06-22,2026-06-18,40766,3180,37586,355587,667975,14664,2852,11812,333326,523158
2026-06-23,2026-06-22,107484,7325,100159,11192,845869,53552,5681,47871,11437,602450
2026-06-24,2026-06-23,32618,10732,21886,0,868970,23730,6505,17225,0,620209
2026-06-25,2026-06-24,23785,5800,17985,30862,856437,15437,3429,12008,18435,614315
2026-06-26,2026-06-25,31147,7153,23994,0,880431,21032,21562,-530,0,613785
2026-06-29,2026-06-26,74213,3452,70761,102145,849279,34054,2513,31541,67363,578024
2026-06-30,2026-06-29,52077,7623,44454,14444,879289,18386,4472,13914,8739,583199
2026-07-01,2026-06-30,28655,5087,23568,0,905906,15870,4855,11015,0,594592
2026-07-02,2026-07-01,22155,9137,13018,20932,899613,26012,6180,19832,15453,599083
2026-07-06,2026-07-02,32492,5380,27112,71046,855679,19961,1751,18210,50385,566908
2026-07-07,2026-07-06,27105,22337,4768,12564,848007,14465,2061,12404,9267,570045
2026-07-08,2026-07-07,26303,12114,14189,0,862690,21742,2237,19505,0,589773
2026-07-09,2026-07-08,14265,2609,11656,21976,852607,13047,1480,11567,18285,583055
2026-07-10,2026-07-09,38977,19919,19058,0,871665,24721,5405,19316,0,602371
2026-07-13,2026-07-10,38453,3855,34598,73550,832739,32558,1933,30625,44512,588526
2026-07-14,2026-07-13,21996,2962,19034,17629,834144,16362,1769,14593,11973,591146
2026-07-15,2026-07-14,53491,5321,48170,0,884723,14725,3269,11456,0,603730
2026-07-16,2026-07-15,120461,18397,102064,29996,957283,19401,7308,12093,12569,603806
2026-07-17,2026-07-16,46502,70557,-24055,0,933228,38710,10724,27986,0,631792
