date,spot,put_wall,call_wall,pcr_oi,pcr_vol,atm_iv,gex_total_bn,gamma_flip,dex_total_bn,pcr_dollar,vrp21,iv_backwardation,max_pain_near,occ_customer_pcr,occ_firm_share
2026-04-22,339.32,300.0,355.0,0.838,,,,,,,,,325.0,,
2026-04-23,338.89,300.0,355.0,0.853,,,,,,,,,327.5,,
2026-04-24,344.4,300.0,350.0,0.873,,,,,,,,,337.5,,
2026-04-27,350.34,300.0,355.0,0.809,,,,,,,,,325.0,,
2026-04-28,349.78,300.0,355.0,0.793,,,,,,,,,327.5,,
2026-04-29,349.94,300.0,355.0,0.818,,,,,,,,,335.0,,
2026-04-30,384.8,330.0,400.0,0.82,,,,,,,,,337.5,,
2026-05-01,385.69,330.0,410.0,0.795,,,,,,,,,365.0,,
2026-05-04,383.25,330.0,410.0,0.826,,,,,,,,,365.0,,
2026-05-05,388.43,335.0,410.0,0.843,,,,,,,,,375.0,,
2026-05-06,398.04,340.0,410.0,0.848,,,,,,,,,375.0,,
2026-05-07,397.99,340.0,410.0,0.832,,,,,,,,,380.0,,
2026-05-08,400.8,350.0,410.0,0.787,,,,,,,,,387.5,,
2026-05-11,388.64,340.0,400.0,0.846,,,,,,,,,385.0,,
2026-05-12,387.35,330.0,400.0,0.856,,,,,,,,,390.0,,
2026-05-13,402.62,350.0,450.0,0.855,,,,,,,,,332.5,,
2026-05-14,401.07,350.0,450.0,0.854,,,,,,,,,332.5,,
2026-05-15,396.78,350.0,400.0,0.863,,,,,,,,,395.0,,
2026-05-18,396.94,350.0,450.0,0.838,,,,,,,,,392.5,,
2026-05-19,387.66,350.0,410.0,0.83,,,,,,,,,397.5,,
2026-05-20,388.91,350.0,400.0,0.821,,,,,,,,,385.0,,
2026-05-21,387.66,360.0,400.0,0.846,,,,,,,,,385.0,,
2026-05-22,382.97,360.0,400.0,0.867,,,,,,,,,387.5,,
2026-05-26,388.88,350.0,400.0,0.894,,,,,,,,,387.5,,
2026-05-27,388.83,360.0,400.0,0.861,,,,,,,,,385.0,,
2026-05-28,390.13,360.0,400.0,0.868,,,,,,,,,385.0,,
2026-05-29,380.34,360.0,400.0,0.862,,,,,,,,,385.0,,
2026-06-01,376.37,360.0,400.0,0.895,,,,,,,,,385.0,,
2026-06-02,361.85,360.0,400.0,0.888,,,,,,,,,380.0,,
2026-06-03,358.99,350.0,400.0,0.867,,,,,,,,,370.0,,
2026-06-04,372.19,360.0,400.0,0.857,,,,,,,,,367.5,,
2026-06-05,368.53,360.0,400.0,0.853,,,,,,,,,367.5,,
2026-06-08,363.31,360.0,400.0,0.9,,,,,,,,,365.0,,
2026-06-09,364.26,345.0,415.0,0.846,,,,,,,,,362.5,,
2026-06-10,356.38,350.0,400.0,0.875,,,,,,,,,370.0,,
2026-06-11,357.77,350.0,400.0,0.877,,,,,,,,,365.0,,
2026-06-12,359.68,350.0,400.0,0.843,,,,,,,,,355.0,,
2026-06-15,369.35,350.0,415.0,0.869,,,,,,,,,355.0,,
2026-06-16,373.25,320.0,415.0,0.866,,,,,,,,,360.0,,
2026-06-17,363.79,320.0,415.0,0.856,,,,,,,,,330.0,,
2026-06-18,368.03,340.0,415.0,0.857,,,,,,,,,365.0,,
2026-06-22,349.68,320.0,400.0,0.748,,,,,,,,,360.0,,
2026-06-23,346.13,320.0,350.0,0.712,,,,,,,,,347.5,,
2026-06-24,345.29,320.0,350.0,0.714,,,,,,,,,352.5,,
2026-06-25,343.71,320.0,350.0,0.717,,,,,,,,,350.0,,
2026-06-26,337.39,320.0,350.0,0.697,,,,,,,,,345.0,,
2026-06-29,353.65,320.0,400.0,0.681,,,,,,,,,345.0,,
2026-06-30,357.37,320.0,400.0,0.661,,,,,,,,,350.0,,
2026-07-01,361.21,320.0,415.0,0.655,,,,,,,,,347.5,,
2026-07-02,359.91,320.0,400.0,0.666,,,,,,,,,350.0,,
2026-07-06,366.46,320.0,415.0,0.662,,,,,,,,,355.0,,
2026-07-07,367.03,320.0,415.0,0.672,,,,,,,,,360.0,,
2026-07-08,361.92,320.0,415.0,0.683,,,,,,,,,360.0,,
2026-07-09,358.89,320.0,400.0,0.684,,,,,,,,,360.0,,
2026-07-10,357.18,320.0,400.0,0.691,,,,,,,,,352.5,,
2026-07-13,352.51,320.0,400.0,0.707,,,,,,,,,352.5,,
2026-07-14,359.51,320.0,400.0,0.708,,,,,,,,,352.5,,
2026-07-15,370.92,320.0,415.0,0.683,,,,,,,,,350.0,,
2026-07-16,354.46,320.0,400.0,0.631,,,,,,,,,350.0,,
2026-07-17,346.77,320.0,370.0,0.677,,,,,,,,,362.5,,
2026-07-20,351.99,320.0,400.0,0.642,,,,,,,,,357.5,,
2026-07-21,347.15,320.0,350.0,0.647,,,,,,,,,357.5,,
2026-07-22,342.09,320.0,370.0,0.637,,,,,,,,,350.0,,
2026-07-23,317.69,310.0,350.0,0.674,,,,,,,,,347.5,,
2026-07-24,319.74,310.0,350.0,0.594,,,,,,,,,325.0,,
2026-07-27,326.56,310.0,350.0,0.615,,,,,,,,,322.5,,
2026-07-28,333.71,310.0,350.0,0.638,,,,,,,,,325.0,,
2026-07-29,333.66,310.0,375.0,0.606,0.571,0.2895,0.21,327.02,-1.84,1.408,-0.0965,-0.0278,330.0,0.316,0.0245
2026-07-30,356.13,310.0,375.0,0.672,0.493,0.2197,0.26,320.55,-6.5,0.523,-0.2317,-0.0652,330.0,0.476,0.054
2026-07-31,373.51,320.0,375.0,0.68,0.399,0.2497,0.39,,-10.68,0.404,-0.2314,-0.0634,350.0,0.427,0.0207
2026-08-03,377.65,330.0,400.0,0.673,0.334,0.2755,0.51,,-12.03,0.242,-0.2033,-0.04,360.0,0.381,0.0412
2026-08-04,362.43,310.0,375.0,0.623,0.584,0.3557,0.38,325.11,-8.18,0.885,-0.1452,-0.0151,350.0,0.251,0.04
2026-08-05,357.75,320.0,410.0,0.672,0.671,0.2364,0.26,341.31,-5.68,1.168,-0.2642,-0.0801,352.5,0.624,0.0292
2026-08-06,354.3,310.0,400.0,0.661,0.586,0.1699,0.13,343.5,-4.24,1.399,-0.331,-0.1059,357.5,0.547,0.0266
2026-08-07,357.52,310.0,410.0,0.665,0.52,0.1984,0.27,339.18,-5.26,1.197,-0.3033,-0.0864,352.5,0.583,0.036
2026-08-10,343.8,310.0,390.0,2.328,0.644,0.2463,-0.25,,2.36,1.383,-0.2718,-0.136,390.0,0.487,0.0229
2026-08-11,343.54,310.0,390.0,0.654,0.425,0.2643,-0.01,343.99,-1.31,0.754,-0.2483,-0.0501,350.0,0.582,0.0384
2026-08-12,346.36,340.0,390.0,0.427,0.375,0.2065,-0.16,358.76,-2.36,1.118,-0.2932,-0.0046,385.0,0.511,0.0261
