date,prev_date,call_in,call_out,call_net,call_expired,call_total,put_in,put_out,put_net,put_expired,put_total
2026-04-23,2026-04-22,7206,5184,2022,0,211405,14026,1005,13021,0,236993
2026-04-24,2026-04-23,8512,2842,5670,0,217075,17603,1118,16485,0,253478
2026-04-27,2026-04-24,18687,8544,10143,47779,194523,30280,161,30119,72822,213780
2026-04-28,2026-04-27,11385,7078,4307,0,198925,12371,9911,2460,0,216240
2026-04-29,2026-04-28,7641,3347,4294,0,203219,5159,860,4299,0,220539
2026-04-30,2026-04-29,5990,1371,4619,0,207838,10316,4238,6078,0,226617
2026-05-01,2026-04-30,10271,2617,7654,0,215492,25282,2568,22714,0,249331
2026-05-04,2026-05-01,20059,3899,16160,37067,194585,12535,534,12001,55000,206433
2026-05-05,2026-05-04,14491,2446,12045,0,206630,14342,653,13689,0,220122
2026-05-06,2026-05-05,7633,2656,4977,0,211607,10893,3372,7521,0,227643
2026-05-07,2026-05-06,30184,10522,19662,0,231269,38240,4634,33606,0,261249
2026-05-08,2026-05-07,14735,5173,9562,0,240831,16180,7937,8243,0,269492
2026-05-11,2026-05-08,13000,613,12387,50699,202519,23226,569,22657,61698,230451
2026-05-12,2026-05-11,30825,7093,23732,0,226428,25522,1500,24022,0,254576
2026-05-13,2026-05-12,16027,5275,10752,0,237180,19486,10429,9057,0,263633
2026-05-14,2026-05-13,6810,1885,4925,0,242105,5773,4627,1146,0,264779
2026-05-15,2026-05-14,7401,2725,4676,0,246781,9700,879,8821,0,273600
2026-05-18,2026-05-15,7723,706,7017,85350,168448,39199,414,38785,109947,202438
2026-05-19,2026-05-18,13985,2172,11813,0,180261,9454,4009,5445,0,207883
2026-05-20,2026-05-19,7625,2176,5449,0,185710,7611,3456,4155,0,212038
2026-05-21,2026-05-20,8555,1551,7004,0,192714,8748,919,7829,0,219867
2026-05-22,2026-05-21,21952,7102,14850,0,207564,33438,2235,31203,0,251070
2026-05-26,2026-05-22,17464,3769,13695,37929,211706,25637,11240,14397,37231,250586
2026-05-27,2026-05-26,11258,2204,9054,0,220760,14487,2962,11525,0,262111
2026-05-28,2026-05-27,7519,1755,5764,0,226524,5109,518,4591,0,266702
2026-05-29,2026-05-28,16463,4154,12309,0,238833,29818,5697,24121,0,290823
2026-06-01,2026-05-29,11353,3508,7845,36677,210515,25041,4304,20737,60586,250974
2026-06-02,2026-06-01,12138,3112,9026,0,219541,18314,839,17475,0,268449
2026-06-03,2026-06-02,9359,1488,7871,0,227412,6077,2733,3344,0,271793
2026-06-04,2026-06-03,6926,2241,4685,0,232097,6396,773,5623,0,277416
2026-06-05,2026-06-04,11121,3002,8119,0,240216,11283,630,10653,0,288069
2026-06-08,2026-06-05,10037,1953,8084,36555,211782,21843,1540,20303,57684,250688
2026-06-09,2026-06-08,17849,1561,16288,0,228070,10178,448,9730,0,260418
2026-06-10,2026-06-09,4497,6230,-1733,0,226337,16559,6282,10277,0,270695
2026-06-11,2026-06-10,5047,1405,3642,0,229979,3740,2287,1453,0,272148
2026-06-12,2026-06-11,3863,1239,2624,0,232603,3084,3496,-412,0,271736
2026-06-15,2026-06-12,5026,1222,3804,32321,204164,3846,1606,2240,26442,247534
2026-06-16,2026-06-15,12818,3750,9068,0,213232,10555,1164,9391,0,256925
2026-06-17,2026-06-16,7534,2420,5114,0,218346,7498,3314,4184,0,261109
2026-06-18,2026-06-17,5828,3132,2696,0,221042,27071,6332,20739,0,281848
2026-06-22,2026-06-18,10186,808,9378,78202,152218,8316,371,7945,92808,196985
2026-06-23,2026-06-22,38311,850,37461,0,196163,20103,3069,17034,0,217067
2026-06-24,2026-06-23,14918,3792,11126,0,207289,8234,8094,140,0,217207
2026-06-25,2026-06-24,6330,2767,3563,0,210852,10115,3909,6206,0,223413
2026-06-26,2026-06-25,9389,3864,5525,0,216377,20052,4603,15449,0,238862
2026-06-29,2026-06-26,10353,1621,8732,34372,190737,22779,6912,15867,49242,205545
2026-06-30,2026-06-29,16223,724,15499,0,206236,10297,349,9948,0,215493
2026-07-01,2026-06-30,5641,1882,3759,0,209995,5750,1077,4673,0,220166
2026-07-02,2026-07-01,6751,3690,3061,0,213056,9602,2623,6979,0,227145
2026-07-06,2026-07-02,7728,1043,6685,27436,192305,14762,703,14059,27518,213686
2026-07-07,2026-07-06,16541,675,15866,0,208171,11404,2480,8924,0,222610
2026-07-08,2026-07-07,17274,6335,10939,0,219150,15958,8696,7262,0,229872
2026-07-09,2026-07-08,9826,2505,7321,0,226471,26291,8037,18254,0,248126
2026-07-10,2026-07-09,5640,1188,4452,0,230923,15097,3974,11123,0,259249
2026-07-13,2026-07-10,5846,1131,4715,24577,211061,11685,3594,8091,37405,229935
2026-07-14,2026-07-13,23595,11238,12357,0,223518,28340,5473,22867,0,252802
2026-07-15,2026-07-14,12237,4127,8110,0,231628,26482,8771,17711,0,270513
2026-07-16,2026-07-15,8401,1078,7323,0,238951,37627,6697,30930,0,301443
2026-07-17,2026-07-16,44615,2649,41966,0,280917,60927,22795,38132,0,339575
2026-07-20,2026-07-17,7505,755,6750,103846,183821,10628,12662,-2034,158033,179508
2026-07-21,2026-07-20,10345,649,9696,0,193517,5148,6877,-1729,0,177779
2026-07-22,2026-07-21,9481,5557,3924,0,197441,8062,468,7594,0,185373
2026-07-23,2026-07-22,6011,1508,4503,0,201944,5113,1183,3930,0,189303
2026-07-24,2026-07-23,9626,934,8692,0,210636,1679,5482,-3803,0,185500
2026-07-27,2026-07-24,12612,8950,3662,29895,204780,6764,736,6028,17969,184347
2026-07-28,2026-07-27,16465,849,15616,0,220396,9151,527,8624,0,193081
2026-07-29,2026-07-28,24394,9580,14814,0,235210,18130,12121,6009,0,199090
2026-07-30,2026-07-29,3113,188305,-185192,0,50018,1577,121645,-120068,0,79022
2026-07-31,2026-07-30,8538,14970,-6432,0,204110,14249,5772,8477,0,193363
2026-08-03,2026-07-31,17514,9976,7538,0,211648,13921,3306,10615,0,204027
2026-08-04,2026-08-03,4029,85365,-81336,0,130312,3385,146194,-142809,0,61218
2026-08-05,2026-08-04,15222,1446,13776,0,233214,11832,543,11289,0,220792
2026-08-06,2026-08-05,11289,4840,6449,0,239663,4344,3774,570,0,221362
2026-08-07,2026-08-06,0,0,0,0,202327,0,0,0,0,174212
