date,prev_date,call_in,call_out,call_net,call_expired,call_total,put_in,put_out,put_net,put_expired,put_total
2026-04-23,2026-04-22,35080,6348,28732,0,553193,26498,2649,23849,0,461202
2026-04-24,2026-04-23,70231,19059,51172,0,604365,30609,11751,18858,0,480060
2026-04-27,2026-04-24,32652,5834,26818,137804,515540,71818,286,71532,141199,424712
2026-04-28,2026-04-27,22283,3179,19104,0,534644,31886,1144,30742,0,455454
2026-04-29,2026-04-28,52707,11570,41137,0,575781,35795,8231,27564,0,483018
2026-04-30,2026-04-29,23291,4880,18411,0,594192,12906,2158,10748,0,493766
2026-05-01,2026-04-30,39698,7424,32274,0,626466,47179,8200,38979,0,532745
2026-05-04,2026-05-01,32859,3092,29767,162875,493358,21056,944,20112,154719,398138
2026-05-05,2026-05-04,55499,8957,46542,0,540144,28602,3783,24819,0,422986
2026-05-06,2026-05-05,29508,17625,11883,0,552027,17596,3881,13715,0,436701
2026-05-07,2026-05-06,41344,27803,13541,0,565568,44005,9273,34732,0,471433
2026-05-08,2026-05-07,48959,12594,36365,0,601933,43795,4478,39317,0,510750
2026-05-11,2026-05-08,50389,23942,26447,131999,496508,95791,3243,92548,177684,425714
2026-05-12,2026-05-11,58837,8676,50161,0,546669,56938,2159,54779,0,480493
2026-05-13,2026-05-12,34108,11901,22207,0,568876,18905,2811,16094,0,496587
2026-05-14,2026-05-13,30813,6684,24129,0,593005,23022,1719,21303,0,517890
2026-05-15,2026-05-14,42145,48834,-6689,0,586316,52427,20051,32376,0,550266
2026-05-18,2026-05-15,32344,2438,29906,235003,381219,58339,2066,56273,198357,408182
2026-05-19,2026-05-18,50913,14706,36207,0,417426,42869,5488,37381,0,445563
2026-05-20,2026-05-19,29404,3666,25738,0,443164,70996,2119,68877,0,514440
2026-05-21,2026-05-20,31760,8132,23628,0,466792,16245,4099,12146,0,526586
2026-05-22,2026-05-21,46477,22679,23798,0,490590,42837,11566,31271,0,557857
2026-05-26,2026-05-22,21087,3752,17335,128937,502381,92950,929,92021,129568,570698
2026-05-27,2026-05-26,75668,7298,68370,0,570751,27100,8025,19075,0,589773
2026-05-28,2026-05-27,78673,29762,48911,0,619662,95013,35429,59584,0,649357
2026-05-29,2026-05-28,37770,11902,25868,0,645530,70700,13778,56922,0,706279
2026-06-01,2026-05-29,17292,2467,14825,135613,524767,82713,1797,80916,202353,584938
2026-06-02,2026-06-01,57373,1994,55379,0,580146,25897,1140,24757,0,609695
2026-06-03,2026-06-02,35862,9249,26613,0,606759,28915,5537,23378,0,633073
2026-06-04,2026-06-03,28779,9956,18823,0,625582,46894,23071,23823,0,656896
2026-06-05,2026-06-04,46035,23486,22549,0,648131,71053,26086,44967,0,701863
2026-06-08,2026-06-05,33606,11269,22337,135898,534719,95834,10748,85086,190848,596275
2026-06-09,2026-06-08,53324,6969,46355,0,581074,14180,2112,12068,0,608343
2026-06-10,2026-06-09,32350,22481,9869,0,590943,47862,16389,31473,0,639816
2026-06-11,2026-06-10,34004,14261,19743,0,610686,71883,17797,54086,0,693902
2026-06-12,2026-06-11,15492,5350,10142,0,620828,38333,14129,24204,0,718106
2026-06-15,2026-06-12,23217,5281,17936,115343,523421,64008,1887,62121,177644,602583
2026-06-16,2026-06-15,45388,4468,40920,0,564719,81556,12464,69092,0,671929
2026-06-17,2026-06-16,24827,10589,14238,0,578957,54361,12801,41560,0,713489
2026-06-18,2026-06-17,18187,10389,7798,0,586755,88534,20920,67614,0,781103
2026-06-22,2026-06-18,37188,1541,35647,248388,374014,75446,2552,72894,323314,530683
2026-06-23,2026-06-22,48213,7430,40783,0,439556,39516,6169,33347,0,574957
2026-06-24,2026-06-23,47125,12453,34672,0,474228,68743,5911,62832,0,637789
2026-06-25,2026-06-24,33929,5892,28037,0,502265,65908,9585,56323,0,694112
2026-06-26,2026-06-25,35301,11888,23413,0,525678,93608,32339,61269,0,755381
2026-06-29,2026-06-26,31982,3233,28749,105992,448435,140479,1595,138884,244471,650124
2026-06-30,2026-06-29,48817,3841,44976,0,493411,57229,5194,52035,0,702159
2026-07-01,2026-06-30,49212,2603,46609,0,540020,44658,5896,38762,0,740921
2026-07-02,2026-07-01,45460,8440,37020,0,577040,86557,12822,73735,0,814656
2026-07-06,2026-07-02,64843,7077,57766,112512,522294,114770,4143,110627,281549,643734
2026-07-07,2026-07-06,98991,8858,90133,0,612561,45394,5453,39941,0,684206
2026-07-08,2026-07-07,44555,21756,22799,0,635360,45562,5095,40467,0,724673
2026-07-09,2026-07-08,21070,6166,14904,0,650264,30610,19258,11352,0,736025
2026-07-10,2026-07-09,40510,17407,23103,0,673367,31400,21555,9845,0,745870
2026-07-13,2026-07-10,22322,1658,20664,141567,552489,100156,9880,90276,144914,691232
2026-07-14,2026-07-13,37723,25595,12128,0,564617,98680,4358,94322,0,785554
2026-07-15,2026-07-14,36695,4146,32549,0,597166,65430,4217,61213,0,846767
2026-07-16,2026-07-15,42681,25963,16718,0,613884,69510,8331,61179,0,907946
2026-07-17,2026-07-16,30083,14125,15958,0,629842,79514,37680,41834,0,949780
2026-07-20,2026-07-17,42715,12393,30322,265238,394926,88447,1145,87302,346877,690205
2026-07-21,2026-07-20,96665,4581,92084,0,487010,69423,8764,60659,0,750864
2026-07-22,2026-07-21,31752,3146,28606,0,515616,49350,7706,41644,0,792508
2026-07-23,2026-07-22,17386,5683,11703,0,527319,38811,14431,24380,0,816888
2026-07-24,2026-07-23,37884,14881,23003,0,550322,41275,7835,33440,0,850328
2026-07-27,2026-07-24,20307,4790,15517,146556,472047,107715,907,106808,216445,788030
2026-07-28,2026-07-27,42628,4598,38030,0,510130,27917,11034,16883,0,804913
2026-07-29,2026-07-28,29093,6090,23003,0,533133,28631,6380,22251,0,827164
2026-07-30,2026-07-29,29906,338395,-308489,0,224644,87122,266951,-179829,0,647335
2026-07-31,2026-07-30,34964,2217,32747,0,511510,86058,11410,74648,0,709940
2026-08-03,2026-07-31,89956,3488,86468,0,598138,74953,6432,68521,0,779128
2026-08-04,2026-08-03,20044,215420,-195376,0,402762,47400,246927,-199527,0,579601
