date,spot,put_wall,call_wall,pcr_oi,pcr_vol,atm_iv,gex_total_bn,gamma_flip,dex_total_bn,pcr_dollar,vrp21,iv_backwardation,max_pain_near,occ_customer_pcr,occ_firm_share
2026-04-22,48.39,43.0,50.0,0.834,,,,,,,,,44.5,,
2026-04-23,52.02,45.0,55.0,0.834,,,,,,,,,45.0,,
2026-04-24,50.64,45.0,55.0,0.789,,,,,,,,,44.0,,
2026-04-27,48.36,42.0,55.0,0.824,,,,,,,,,46.5,,
2026-04-28,44.44,40.0,50.0,0.852,,,,,,,,,46.5,,
2026-04-29,42.86,40.0,45.0,0.839,,,,,,,,,46.5,,
2026-04-30,45.51,40.0,50.0,0.831,,,,,,,,,46.0,,
2026-05-01,45.66,40.0,50.0,0.85,,,,,,,,,44.5,,
2026-05-04,49.48,45.0,50.0,0.807,,,,,,,,,44.5,,
2026-05-05,54.74,47.0,60.0,0.783,,,,,,,,,46.0,,
2026-05-06,60.98,55.0,70.0,0.791,,,,,,,,,46.5,,
2026-05-07,56.85,55.0,60.0,0.834,,,,,,,,,46.5,,
2026-05-08,61.2,55.0,70.0,0.849,,,,,,,,,47.0,,
2026-05-11,55.15,55.0,60.0,0.857,,,,,,,,,50.0,,
2026-05-12,56.56,50.0,60.0,0.879,,,,,,,,,52.0,,
2026-05-13,55.17,50.0,60.0,0.873,,,,,,,,,52.0,,
2026-05-14,58.4,50.0,60.0,0.873,,,,,,,,,52.0,,
2026-05-15,52.94,50.0,60.0,0.939,,,,,,,,,54.0,,
2026-05-18,50.46,50.0,55.0,1.071,,,,,,,,,55.0,,
2026-05-19,47.74,45.0,50.0,1.067,,,,,,,,,54.0,,
2026-05-20,52.71,45.0,60.0,1.161,,,,,,,,,53.0,,
2026-05-21,58.06,50.0,60.0,1.128,,,,,,,,,53.0,,
2026-05-22,56.83,50.0,65.0,0.991,,,,,,,,,52.0,,
2026-05-26,59.78,55.0,65.0,1.136,,,,,,,,,55.0,,
2026-05-27,67.84,60.0,70.0,1.033,,,,,,,,,55.0,,
2026-05-28,64.05,60.0,65.0,1.048,,,,,,,,,58.0,,
2026-05-29,63.54,60.0,65.0,1.094,,,,,,,,,62.0,,
2026-06-01,65.33,60.0,70.0,1.115,,,,,,,,,62.0,,
2026-06-02,66.6,60.0,70.0,1.051,,,,,,,,,62.0,,
2026-06-03,65.48,60.0,70.0,1.043,,,,,,,,,62.0,,
2026-06-04,61.86,55.0,65.0,1.05,,,,,,,,,62.0,,
2026-06-05,54.35,50.0,60.0,1.083,,,,,,,,,61.0,,
2026-06-08,59.19,55.0,65.0,1.115,,,,,,,,,57.0,,
2026-06-09,54.02,50.0,60.0,1.047,,,,,,,,,57.0,,
2026-06-10,51.52,50.0,55.0,1.083,,,,,,,,,56.0,,
2026-06-11,56.71,50.0,65.0,1.136,,,,,,,,,56.0,,
2026-06-12,59.77,55.0,65.0,1.157,,,,,,,,,50.0,,
2026-06-15,60.85,60.0,65.0,1.151,,,,,,,,,52.0,,
2026-06-16,59.18,55.0,65.0,1.19,,,,,,,,,54.0,,
2026-06-17,58.11,50.0,65.0,1.232,,,,,,,,,54.0,,
2026-06-18,59.96,55.0,65.0,1.331,,,,,,,,,61.0,,
2026-06-22,56.87,50.0,65.0,1.358,,,,,,,,,60.0,,
2026-06-23,54.72,50.0,60.0,1.308,,,,,,,,,60.0,,
2026-06-24,50.3,45.0,55.0,1.345,,,,,,,,,58.0,,
2026-06-25,47.74,42.0,50.0,1.382,,,,,,,,,57.0,,
2026-06-26,47.21,42.0,50.0,1.438,,,,,,,,,50.0,,
2026-06-29,45.91,40.0,50.0,1.45,,,,,,,,,50.0,,
2026-06-30,45.73,40.0,50.0,1.423,,,,,,,,,49.5,,
2026-07-01,43.32,40.0,45.0,1.372,,,,,,,,,48.0,,
2026-07-02,38.82,35.0,40.0,1.412,,,,,,,,,49.5,,
2026-07-06,43.91,40.0,50.0,1.233,,,,,,,,,45.0,,
