date,spot,put_wall,call_wall,pcr_oi,pcr_vol,atm_iv,gex_total_bn,gamma_flip,dex_total_bn,pcr_dollar,vrp21,iv_backwardation,max_pain_near,occ_customer_pcr,occ_firm_share
2025-07-30,179.27,160.0,180.0,0.878,,,,,,,,,170.0,,
2025-07-31,177.87,160.0,180.0,0.847,,,,,,,,,172.5,,
2025-08-01,173.72,150.0,180.0,0.868,,,,,,,,,170.0,,
2025-08-04,180.0,160.0,180.0,0.873,,,,,,,,,170.0,,
2025-08-05,178.26,160.0,180.0,0.876,,,,,,,,,172.5,,
2025-08-06,179.42,160.0,180.0,0.873,,,,,,,,,175.0,,
2025-08-07,180.77,160.0,185.0,0.855,,,,,,,,,175.0,,
2025-08-08,182.7,160.0,185.0,0.853,,,,,,,,,150.0,,
2025-08-11,182.06,160.0,185.0,0.904,,,,,,,,,155.0,,
2025-08-12,183.16,160.0,185.0,0.908,,,,,,,,,160.0,,
2025-08-13,181.59,160.0,185.0,0.902,,,,,,,,,162.5,,
2025-08-14,182.02,160.0,185.0,0.903,,,,,,,,,165.0,,
2025-08-15,180.45,170.0,185.0,0.909,,,,,,,,,175.0,,
2025-08-18,182.01,170.0,185.0,0.836,,,,,,,,,175.0,,
2025-08-19,175.64,170.0,185.0,0.851,,,,,,,,,177.5,,
2025-08-20,175.4,170.0,185.0,0.854,,,,,,,,,177.5,,
2025-08-21,174.98,170.0,190.0,0.852,,,,,,,,,175.0,,
2025-08-22,177.99,170.0,185.0,0.932,,,,,,,,,172.5,,
2025-08-25,179.81,170.0,200.0,0.935,,,,,,,,,175.0,,
2025-08-26,181.77,170.0,200.0,0.931,,,,,,,,,175.0,,
2025-08-27,181.6,170.0,200.0,0.947,,,,,,,,,175.0,,
2025-08-28,180.17,170.0,200.0,0.961,,,,,,,,,177.5,,
2025-08-29,174.18,170.0,200.0,0.919,,,,,,,,,177.5,,
2025-09-02,170.78,170.0,180.0,0.946,,,,,,,,,175.0,,
2025-09-03,170.62,170.0,180.0,0.932,,,,,,,,,172.5,,
2025-09-04,171.66,170.0,180.0,0.905,,,,,,,,,172.5,,
2025-09-05,167.02,160.0,175.0,0.897,,,,,,,,,172.5,,
2025-09-08,168.31,160.0,180.0,0.948,,,,,,,,,170.0,,
2025-09-09,170.76,160.0,180.0,0.94,,,,,,,,,170.0,,
2025-09-10,177.33,160.0,180.0,0.923,,,,,,,,,170.0,,
2025-09-11,177.17,160.0,180.0,0.943,,,,,,,,,170.0,,
2025-09-12,177.82,170.0,180.0,0.945,,,,,,,,,152.0,,
2025-09-15,177.75,170.0,180.0,0.979,,,,,,,,,155.0,,
2025-09-16,174.88,170.0,180.0,0.961,,,,,,,,,156.0,,
2025-09-17,170.29,170.0,180.0,0.956,,,,,,,,,158.0,,
2025-09-18,176.24,170.0,180.0,0.939,,,,,,,,,157.5,,
2025-09-19,176.67,160.0,180.0,0.956,,,,,,,,,170.0,,
2025-09-22,183.61,160.0,185.0,0.979,,,,,,,,,172.5,,
2025-09-23,178.43,160.0,180.0,0.961,,,,,,,,,175.0,,
2025-09-24,176.97,170.0,180.0,0.956,,,,,,,,,175.0,,
2025-09-25,177.69,170.0,180.0,0.949,,,,,,,,,175.0,,
2025-09-26,178.19,170.0,180.0,0.956,,,,,,,,,175.0,,
2025-09-29,181.85,170.0,200.0,0.97,,,,,,,,,175.0,,
2025-09-30,186.58,170.0,200.0,0.952,,,,,,,,,177.5,,
2025-10-01,187.24,170.0,200.0,0.955,,,,,,,,,180.0,,
2025-10-02,188.89,170.0,200.0,0.946,,,,,,,,,180.0,,
2025-10-03,187.62,170.0,200.0,0.953,,,,,,,,,180.0,,
2025-10-06,185.54,170.0,200.0,0.991,,,,,,,,,182.5,,
2025-10-07,185.04,170.0,200.0,0.973,,,,,,,,,182.5,,
2025-10-08,189.11,170.0,200.0,0.972,,,,,,,,,185.0,,
2025-10-09,192.57,170.0,200.0,0.965,,,,,,,,,185.0,,
2025-10-10,183.16,170.0,200.0,0.982,,,,,,,,,170.0,,
2025-10-13,188.32,170.0,200.0,0.965,,,,,,,,,170.0,,
2025-10-14,180.03,160.0,200.0,0.953,,,,,,,,,175.0,,
2025-10-15,179.83,160.0,200.0,0.933,,,,,,,,,175.0,,
2025-10-16,181.81,160.0,200.0,0.91,,,,,,,,,175.0,,
2025-10-17,183.22,160.0,200.0,0.917,,,,,,,,,182.5,,
2025-10-20,182.64,160.0,200.0,0.909,,,,,,,,,182.5,,
2025-10-21,181.16,160.0,200.0,0.904,,,,,,,,,182.5,,
2025-10-22,180.28,160.0,200.0,0.894,,,,,,,,,182.5,,
2025-10-23,182.16,160.0,200.0,0.881,,,,,,,,,180.0,,
2025-10-24,186.26,160.0,200.0,0.888,,,,,,,,,180.0,,
2025-10-27,191.49,180.0,200.0,0.891,,,,,,,,,182.5,,
2025-10-28,201.03,180.0,205.0,0.834,,,,,,,,,185.0,,
2025-10-29,207.04,180.0,210.0,0.857,,,,,,,,,187.5,,
2025-10-30,202.89,180.0,210.0,0.842,,,,,,,,,190.0,,
2025-10-31,202.49,180.0,210.0,0.87,,,,,,,,,192.5,,
2025-11-03,206.88,180.0,210.0,0.898,,,,,,,,,195.0,,
2025-11-04,198.69,180.0,200.0,0.911,,,,,,,,,200.0,,
2025-11-05,195.21,180.0,200.0,0.908,,,,,,,,,200.0,,
2025-11-06,188.08,160.0,200.0,0.904,,,,,,,,,197.5,,
2025-11-07,188.15,160.0,200.0,0.872,,,,,,,,,190.0,,
2025-11-10,199.05,180.0,200.0,0.871,,,,,,,,,187.5,,
2025-11-11,193.16,180.0,200.0,0.883,,,,,,,,,190.0,,
2025-11-12,193.8,180.0,200.0,0.882,,,,,,,,,190.0,,
2025-11-13,186.86,185.0,200.0,0.879,,,,,,,,,190.0,,
2025-11-14,190.17,180.0,200.0,0.849,,,,,,,,,180.0,,
2025-11-17,186.6,180.0,200.0,0.882,,,,,,,,,180.0,,
2025-11-18,181.36,180.0,200.0,0.88,,,,,,,,,180.0,,
2025-11-19,186.52,180.0,200.0,0.864,,,,,,,,,180.0,,
2025-11-20,180.64,160.0,200.0,0.861,,,,,,,,,180.0,,
2025-11-21,178.88,160.0,200.0,0.84,,,,,,,,,185.0,,
2025-11-24,182.55,165.0,200.0,0.865,,,,,,,,,182.5,,
2025-11-25,177.82,160.0,200.0,0.855,,,,,,,,,182.5,,
2025-11-26,180.26,160.0,200.0,0.838,,,,,,,,,177.5,,
2025-11-28,177.0,160.0,200.0,0.841,,,,,,,,,177.5,,
2025-12-01,179.92,160.0,200.0,0.871,,,,,,,,,177.5,,
2025-12-02,181.46,160.0,200.0,0.878,,,,,,,,,177.5,,
2025-12-03,179.59,160.0,200.0,0.868,,,,,,,,,180.0,,
2025-12-04,183.38,160.0,200.0,0.862,,,,,,,,,180.0,,
2025-12-05,182.41,160.0,200.0,0.872,,,,,,,,,180.0,,
2025-12-08,185.55,180.0,200.0,0.878,,,,,,,,,180.0,,
2025-12-09,184.97,160.0,200.0,0.861,,,,,,,,,182.5,,
2025-12-10,183.78,160.0,200.0,0.863,,,,,,,,,182.5,,
2025-12-11,180.93,160.0,200.0,0.857,,,,,,,,,182.5,,
2025-12-12,175.02,160.0,200.0,0.861,,,,,,,,,146.0,,
2025-12-15,176.29,160.0,200.0,0.894,,,,,,,,,150.0,,
2025-12-16,177.72,160.0,200.0,0.884,,,,,,,,,150.0,,
2025-12-17,170.94,160.0,190.0,0.884,,,,,,,,,150.0,,
2025-12-18,174.14,160.0,200.0,0.87,,,,,,,,,150.0,,
2025-12-19,180.99,160.0,200.0,0.877,,,,,,,,,175.0,,
2025-12-22,183.69,160.0,200.0,0.848,,,,,,,,,175.0,,
2025-12-23,189.21,180.0,200.0,0.833,,,,,,,,,177.5,,
2025-12-24,188.61,180.0,200.0,0.835,,,,,,,,,180.0,,
2025-12-26,190.53,180.0,200.0,0.833,,,,,,,,,180.0,,
2025-12-29,188.22,160.0,200.0,0.862,,,,,,,,,185.0,,
2025-12-30,187.54,160.0,200.0,0.863,,,,,,,,,185.0,,
2025-12-31,186.5,160.0,200.0,0.866,,,,,,,,,185.0,,
2026-01-02,188.85,180.0,200.0,0.857,,,,,,,,,180.0,,
2026-01-05,188.12,160.0,200.0,0.866,,,,,,,,,185.0,,
2026-01-06,187.24,160.0,200.0,0.854,,,,,,,,,185.0,,
2026-01-07,189.11,180.0,200.0,0.856,,,,,,,,,185.0,,
2026-01-08,185.04,160.0,200.0,0.856,,,,,,,,,185.0,,
2026-01-09,184.86,160.0,200.0,0.845,,,,,,,,,142.0,,
2026-01-12,184.94,160.0,200.0,0.886,,,,,,,,,146.0,,
2026-01-13,185.81,160.0,200.0,0.872,,,,,,,,,150.0,,
2026-01-14,183.14,160.0,200.0,0.871,,,,,,,,,150.0,,
2026-01-15,187.05,160.0,200.0,0.88,,,,,,,,,150.0,,
2026-01-16,186.23,180.0,200.0,0.885,,,,,,,,,185.0,,
2026-01-20,178.07,160.0,190.0,0.788,,,,,,,,,185.0,,
2026-01-21,183.32,180.0,190.0,0.798,,,,,,,,,185.0,,
2026-01-22,184.84,180.0,190.0,0.796,,,,,,,,,185.0,,
2026-01-23,187.67,165.0,190.0,0.82,,,,,,,,,185.0,,
2026-01-26,186.47,165.0,190.0,0.817,,,,,,,,,185.0,,
2026-01-27,188.52,165.0,190.0,0.817,,,,,,,,,185.0,,
2026-01-28,191.52,165.0,200.0,0.806,,,,,,,,,185.0,,
2026-01-29,192.51,165.0,200.0,0.834,,,,,,,,,187.5,,
2026-01-30,191.13,165.0,200.0,0.847,,,,,,,,,187.5,,
2026-02-02,185.61,180.0,200.0,0.803,,,,,,,,,190.0,,
2026-02-03,180.34,180.0,200.0,0.812,,,,,,,,,187.5,,
2026-02-04,174.19,160.0,190.0,0.841,,,,,,,,,185.0,,
2026-02-05,171.88,160.0,190.0,0.831,,,,,,,,,182.5,,
2026-02-06,185.41,180.0,200.0,0.808,,,,,,,,,175.0,,
2026-02-09,190.04,180.0,200.0,0.821,,,,,,,,,182.5,,
2026-02-10,188.54,180.0,200.0,0.814,,,,,,,,,185.0,,
2026-02-11,190.05,180.0,200.0,0.831,,,,,,,,,180.0,,
2026-02-12,186.94,180.0,200.0,0.831,,,,,,,,,182.5,,
2026-02-13,182.81,175.0,200.0,0.837,,,,,,,,,187.5,,
2026-02-17,184.97,175.0,200.0,0.806,,,,,,,,,185.0,,
2026-02-18,187.98,175.0,200.0,0.827,,,,,,,,,185.0,,
2026-02-19,187.9,180.0,200.0,0.849,,,,,,,,,185.0,,
2026-02-20,189.82,180.0,200.0,0.845,,,,,,,,,187.5,,
2026-02-23,191.55,170.0,200.0,0.844,,,,,,,,,185.0,,
2026-02-24,192.85,180.0,200.0,0.828,,,,,,,,,185.0,,
2026-02-25,195.56,170.0,200.0,0.821,,,,,,,,,187.5,,
2026-02-26,184.89,180.0,200.0,0.811,,,,,,,,,190.0,,
2026-02-27,177.19,170.0,200.0,0.794,,,,,,,,,185.0,,
2026-03-02,182.48,170.0,200.0,0.832,,,,,,,,,185.0,,
2026-03-03,180.05,170.0,200.0,0.828,,,,,,,,,180.0,,
2026-03-04,183.04,170.0,200.0,0.817,,,,,,,,,185.0,,
2026-03-05,183.34,170.0,200.0,0.831,,,,,,,,,185.0,,
2026-03-06,177.82,170.0,200.0,0.834,,,,,,,,,180.0,,
2026-03-09,182.65,165.0,200.0,0.85,,,,,,,,,182.5,,
2026-03-10,184.77,160.0,200.0,0.835,,,,,,,,,180.0,,
2026-03-11,186.03,160.0,200.0,0.833,,,,,,,,,182.5,,
2026-03-12,183.14,160.0,200.0,0.835,,,,,,,,,182.5,,
2026-03-13,180.25,170.0,200.0,0.835,,,,,,,,,182.5,,
2026-03-16,183.22,170.0,200.0,0.821,,,,,,,,,180.0,,
2026-03-17,181.93,170.0,200.0,0.829,,,,,,,,,182.5,,
2026-03-18,180.4,170.0,200.0,0.809,,,,,,,,,170.0,,
2026-03-19,178.56,170.0,200.0,0.816,,,,,,,,,170.0,,
2026-03-20,172.7,170.0,190.0,0.838,,,,,,,,,180.0,,
2026-03-23,175.64,150.0,200.0,0.921,,,,,,,,,177.5,,
2026-03-24,175.2,160.0,200.0,0.92,,,,,,,,,177.5,,
2026-03-25,178.68,160.0,200.0,0.921,,,,,,,,,177.5,,
2026-03-26,171.24,160.0,190.0,0.93,,,,,,,,,177.5,,
2026-03-27,167.52,160.0,190.0,0.915,,,,,,,,,175.0,,
2026-03-30,165.17,160.0,180.0,0.921,,,,,,,,,172.5,,
2026-03-31,174.4,160.0,200.0,0.896,,,,,,,,,170.0,,
2026-04-01,175.75,160.0,200.0,0.885,,,,,,,,,170.0,,
2026-04-02,177.39,160.0,200.0,0.894,,,,,,,,,172.5,,
2026-04-06,177.64,160.0,200.0,0.889,,,,,,,,,175.0,,
2026-04-07,178.1,160.0,200.0,0.888,,,,,,,,,175.0,,
2026-04-08,182.08,160.0,200.0,0.896,,,,,,,,,175.0,,
2026-04-09,183.91,160.0,200.0,0.872,,,,,,,,,175.0,,
2026-04-10,188.63,170.0,190.0,0.851,,,,,,,,,180.0,,
2026-04-13,189.31,180.0,200.0,0.847,,,,,,,,,185.0,,
2026-04-14,196.51,170.0,200.0,0.85,,,,,,,,,185.0,,
2026-04-15,198.87,180.0,200.0,0.816,,,,,,,,,180.0,,
2026-04-16,198.35,180.0,200.0,0.82,,,,,,,,,182.5,,
2026-04-17,201.68,180.0,210.0,0.825,,,,,,,,,192.5,,
2026-04-20,202.06,180.0,210.0,0.827,,,,,,,,,195.0,,
2026-04-21,199.88,180.0,200.0,0.839,,,,,,,,,197.5,,
2026-04-22,202.5,180.0,210.0,0.837,,,,,,,,,190.0,,
2026-04-23,199.64,180.0,200.0,0.821,,,,,,,,,192.5,,
2026-04-24,208.27,180.0,210.0,0.845,,,,,,,,,200.0,,
2026-04-27,216.61,190.0,220.0,0.814,,,,,,,,,200.0,,
2026-04-28,213.17,200.0,220.0,0.793,,,,,,,,,210.0,,
2026-04-29,209.25,180.0,220.0,0.795,,,,,,,,,197.5,,
2026-04-30,199.57,180.0,200.0,0.794,,,,,,,,,200.0,,
2026-05-01,198.45,180.0,200.0,0.763,,,,,,,,,202.5,,
2026-05-04,198.48,180.0,200.0,0.805,,,,,,,,,205.0,,
2026-05-05,196.5,190.0,200.0,0.8,,,,,,,,,200.0,,
2026-05-06,207.83,190.0,210.0,0.788,,,,,,,,,197.5,,
2026-05-07,211.5,180.0,220.0,0.766,,,,,,,,,197.5,,
2026-05-08,215.2,190.0,220.0,0.763,,,,,,,,,205.0,,
2026-05-11,219.44,190.0,220.0,0.782,,,,,,,,,205.0,,
2026-05-12,220.78,190.0,225.0,0.781,,,,,,,,,212.5,,
2026-05-13,225.83,200.0,230.0,0.768,,,,,,,,,195.0,,
2026-05-14,235.74,210.0,250.0,0.774,,,,,,,,,195.0,,
2026-05-15,225.32,200.0,250.0,0.781,,,,,,,,,220.0,,
2026-05-18,222.32,200.0,250.0,0.738,,,,,,,,,210.0,,
2026-05-19,220.61,200.0,250.0,0.751,,,,,,,,,212.5,,
2026-05-20,223.47,200.0,250.0,0.742,,,,,,,,,215.0,,
2026-05-21,219.51,200.0,250.0,0.725,,,,,,,,,215.0,,
2026-05-22,215.33,200.0,230.0,0.756,,,,,,,,,220.0,,
2026-05-26,214.86,200.0,220.0,0.801,,,,,,,,,220.0,,
2026-05-27,212.6,200.0,220.0,0.792,,,,,,,,,210.0,,
2026-05-28,214.25,200.0,220.0,0.774,,,,,,,,,210.0,,
