date,prev_date,call_in,call_out,call_net,call_expired,call_total,put_in,put_out,put_net,put_expired,put_total
2026-04-23,2026-04-22,52404,31527,20877,0,905342,29625,6578,23047,0,779169
2026-04-24,2026-04-23,60724,17100,43624,0,948966,58394,10068,48326,0,827495
2026-04-27,2026-04-24,47716,2450,45266,181042,867499,49302,2498,46804,145588,809215
2026-04-28,2026-04-27,81783,32642,49141,0,916640,23714,1436,22278,0,831493
2026-04-29,2026-04-28,25458,5159,20299,0,936939,11736,3486,8250,0,839743
2026-04-30,2026-04-29,61079,23324,37755,0,974694,46552,7434,39118,0,878861
2026-05-01,2026-04-30,57492,18001,39491,0,1014185,23307,8700,14607,0,893468
2026-05-04,2026-05-01,57161,4765,52396,165237,901385,58721,5558,53163,133689,812942
2026-05-05,2026-05-04,134635,3806,130829,0,1032214,129371,3471,125900,0,938842
2026-05-06,2026-05-05,134991,24058,110933,0,1143147,57330,20648,36682,0,975524
2026-05-07,2026-05-06,118831,69980,48851,0,1191998,35888,8503,27385,0,1002909
2026-05-08,2026-05-07,50760,23279,27481,0,1219479,16213,22383,-6170,0,996739
2026-05-11,2026-05-08,51373,6167,45206,290466,974255,49120,12992,36128,207402,825524
2026-05-12,2026-05-11,59764,3950,55814,0,1030069,33516,4035,29481,0,855005
2026-05-13,2026-05-12,30108,11003,19105,0,1049174,14520,8327,6193,0,861198
2026-05-14,2026-05-13,96092,16014,80078,0,1129252,54420,9135,45285,0,906483
2026-05-15,2026-05-14,31996,16297,15699,0,1144951,28057,30392,-2335,0,904148
2026-05-18,2026-05-15,64752,3081,61671,389142,817480,24094,1237,22857,223486,703519
2026-05-19,2026-05-18,50801,5562,45239,0,862719,20723,2076,18647,0,722166
2026-05-20,2026-05-19,34391,4426,29965,0,892684,11520,2342,9178,0,731344
2026-05-21,2026-05-20,37818,4440,33378,0,926062,11614,6664,4950,0,736294
2026-05-22,2026-05-21,47795,20947,26848,0,952910,15896,13776,2120,0,738414
2026-05-26,2026-05-22,63941,14562,49379,208938,956524,45371,4300,41071,118129,815278
2026-05-27,2026-05-26,60113,4080,56033,0,1012557,21387,2659,18728,0,834006
2026-05-28,2026-05-27,73805,27776,46029,0,1058586,37026,3690,33336,0,867342
2026-05-29,2026-05-28,125090,32563,92527,0,1151113,43092,15981,27111,0,894453
2026-06-01,2026-05-29,143124,31090,112034,173686,1089543,67427,17243,50184,100733,843945
2026-06-02,2026-06-01,104984,23483,81501,0,1171044,38540,11134,27406,0,871351
2026-06-03,2026-06-02,54939,7139,47800,0,1218844,28510,8615,19895,0,891246
2026-06-04,2026-06-03,58884,36476,22408,0,1241252,40140,9798,30342,0,921588
2026-06-05,2026-06-04,76455,19517,56938,0,1298190,21974,10696,11278,0,932866
2026-06-08,2026-06-05,50361,28186,22175,259379,1061204,40535,6217,34318,134752,832475
2026-06-09,2026-06-08,46197,7320,38877,0,1100081,23248,3455,19793,0,852268
2026-06-10,2026-06-09,48823,26631,22192,0,1122273,29594,15067,14527,0,866795
2026-06-11,2026-06-10,57133,9195,47938,0,1170211,20939,15428,5511,0,872306
2026-06-12,2026-06-11,40874,20132,20742,0,1190953,22032,19285,2747,0,875053
2026-06-15,2026-06-12,37776,3442,34334,173233,1052110,30802,4263,26539,91336,810256
2026-06-16,2026-06-15,83046,10870,72176,0,1124286,20748,3999,16749,0,827005
2026-06-17,2026-06-16,27945,4872,23073,0,1147359,19287,9575,9712,0,836717
2026-06-18,2026-06-17,41372,11650,29722,0,1177081,25446,23208,2238,0,838955
2026-06-22,2026-06-18,119227,2096,117131,495087,799125,44249,1456,42793,319671,562077
2026-06-23,2026-06-22,89242,9287,79955,0,914450,63950,12118,51832,0,667550
2026-06-24,2026-06-23,75367,17601,57766,0,972216,29687,19020,10667,0,678217
2026-06-25,2026-06-24,85822,33038,52784,0,1025000,34605,22734,11871,0,690088
2026-06-26,2026-06-25,103973,17697,86276,0,1111276,72981,43244,29737,0,719825
2026-06-29,2026-06-26,59508,5907,53601,221238,944081,48860,12787,36073,77984,678629
2026-06-30,2026-06-29,66402,11777,54625,0,998706,25984,10367,15617,0,694246
2026-07-01,2026-06-30,41806,7187,34619,0,1033325,19219,6640,12579,0,706825
2026-07-02,2026-07-01,85873,38575,47298,0,1080623,48282,10201,38081,0,744906
2026-07-06,2026-07-02,58510,14248,44262,200718,924167,27425,9837,17588,87740,674754
2026-07-07,2026-07-06,75320,19755,55565,0,980097,17074,3096,13978,0,688802
2026-07-08,2026-07-07,26249,17732,8517,0,988614,23105,7390,15715,0,704517
2026-07-09,2026-07-08,31391,8373,23018,0,1011632,22288,6932,15356,0,719873
2026-07-10,2026-07-09,46221,9309,36912,0,1048544,26958,4663,22295,0,742168
2026-07-13,2026-07-10,68360,3413,64947,194238,919285,22986,1917,21069,106914,656401
2026-07-14,2026-07-13,60027,5089,54938,0,974223,22074,4721,17353,0,673754
2026-07-15,2026-07-14,57535,15653,41882,0,1016105,29956,4028,25928,0,699682
2026-07-16,2026-07-15,52004,14217,37787,0,1053892,16940,6247,10693,0,710375
2026-07-17,2026-07-16,53942,24286,29656,0,1083548,20799,8913,11886,0,722261
2026-07-20,2026-07-17,48754,2536,46218,361124,768642,53469,3124,50345,233392,539214
2026-07-21,2026-07-20,77605,1999,75606,0,844248,33274,740,32534,0,571748
2026-07-22,2026-07-21,19413,2472,16941,0,861189,13209,1620,11589,0,583337
2026-07-23,2026-07-22,80942,34099,46843,0,908032,27516,3987,23529,0,606866
