date,prev_date,call_in,call_out,call_net,call_expired,call_total,put_in,put_out,put_net,put_expired,put_total
2026-04-23,2026-04-22,660,168,492,0,23473,8689,261,8428,0,91111
2026-04-24,2026-04-23,2498,511,1987,0,25460,11794,438,11356,0,102467
2026-04-27,2026-04-24,4195,582,3613,2142,27161,11122,689,10433,44221,68679
2026-04-28,2026-04-27,1823,125,1698,0,28859,43730,949,42781,0,111460
2026-04-29,2026-04-28,1297,155,1142,0,30001,10745,2706,8039,0,119499
2026-04-30,2026-04-29,1504,592,912,0,30913,13031,545,12486,0,131985
2026-05-01,2026-04-30,1454,319,1135,0,32048,15167,2648,12519,0,144504
2026-05-04,2026-05-01,957,120,837,5530,27355,51848,1513,50335,60757,134082
2026-05-05,2026-05-04,1627,97,1530,0,28998,6823,1438,5385,0,140435
2026-05-06,2026-05-05,3448,222,3226,0,32224,7917,1501,6416,0,146851
2026-05-07,2026-05-06,2266,468,1798,0,34022,27109,2490,24619,0,171470
2026-05-08,2026-05-07,3384,573,2811,0,36833,12888,2583,10305,0,181775
2026-05-11,2026-05-08,5120,772,4348,1685,39496,11884,1873,10011,66836,124950
2026-05-12,2026-05-11,3425,1214,2211,0,41795,74799,2866,71933,0,196959
2026-05-13,2026-05-12,2570,549,2021,0,43816,15239,3265,11974,0,208933
2026-05-14,2026-05-13,2774,540,2234,0,46050,12943,5153,7790,0,216723
2026-05-15,2026-05-14,1298,1820,-522,0,45528,7243,2275,4968,0,221691
2026-05-18,2026-05-15,1278,268,1010,19688,26850,27300,1198,26102,120662,127131
2026-05-19,2026-05-18,1423,371,1052,0,27902,12085,4728,7357,0,134488
2026-05-20,2026-05-19,3959,720,3239,0,31141,8083,6169,1914,0,136402
2026-05-21,2026-05-20,2680,987,1693,0,32834,9654,4174,5480,0,141882
2026-05-22,2026-05-21,1020,332,688,0,33522,13220,3492,9728,0,151610
2026-05-26,2026-05-22,2640,297,2343,3994,36542,19981,1689,18292,41679,134206
2026-05-27,2026-05-26,6947,2291,4656,0,41198,39207,4182,35025,0,169231
2026-05-28,2026-05-27,2735,1374,1361,0,42559,18232,6730,11502,0,180733
2026-05-29,2026-05-28,1751,793,958,0,43517,45128,4708,40420,0,221153
2026-06-01,2026-05-29,3631,536,3095,7048,39564,16885,2024,14861,81672,154342
2026-06-02,2026-06-01,1438,85,1353,0,40917,11215,2750,8465,0,163330
2026-06-03,2026-06-02,1751,464,1287,0,42204,14496,4790,9706,0,173036
2026-06-04,2026-06-03,3555,1335,2220,0,44424,48672,8175,40497,0,213533
2026-06-05,2026-06-04,2583,610,1973,0,46397,24289,4314,19975,0,233653
2026-06-08,2026-06-05,4755,842,3913,7847,42463,27323,10189,17134,64463,186324
2026-06-09,2026-06-08,8866,868,7998,0,50461,27069,6440,20629,0,207194
2026-06-10,2026-06-09,6943,2605,4338,0,54799,12245,13043,-798,0,206396
2026-06-11,2026-06-10,5641,2125,3516,0,58315,5587,11118,-5531,0,200865
2026-06-12,2026-06-11,1586,1385,201,0,58516,19683,3314,16369,0,217234
2026-06-15,2026-06-12,1133,1579,-446,13045,45025,15071,4573,10498,50863,176869
2026-06-16,2026-06-15,7161,1012,6149,0,51174,19918,5238,14680,0,191765
2026-06-17,2026-06-16,3075,1901,1174,0,52348,15439,4211,11228,0,202993
2026-06-18,2026-06-17,4311,1013,3298,0,55646,19650,6604,13046,0,216039
2026-06-22,2026-06-18,12258,1161,11097,23117,43626,20915,3398,17517,88848,144708
2026-06-23,2026-06-22,11654,652,11002,0,57996,21015,5681,15334,0,165729
2026-06-24,2026-06-23,11690,505,11185,0,69181,37748,6925,30823,0,196552
2026-06-25,2026-06-24,11189,866,10323,0,79504,31273,9840,21433,0,217985
2026-06-26,2026-06-25,4375,1682,2693,0,82197,14042,11324,2718,0,220703
2026-06-29,2026-06-26,4254,2024,2230,15780,68647,35455,3999,31456,64259,187900
2026-06-30,2026-06-29,6931,1553,5378,0,74025,16577,7626,8951,0,196851
2026-07-01,2026-06-30,5806,1081,4725,0,78775,30490,3729,26761,0,223612
2026-07-02,2026-07-01,5825,1581,4244,0,83019,18082,8270,9812,0,233424
2026-07-06,2026-07-02,17462,900,16562,16096,83485,20604,13286,7318,51175,189567
2026-07-07,2026-07-06,5415,517,4898,0,88383,12801,3637,9164,0,198731
2026-07-08,2026-07-07,37498,2423,35075,0,123458,16414,9731,6683,139,205414
2026-07-09,2026-07-08,6487,2249,4238,0,127696,7321,7362,-41,0,205373
2026-07-10,2026-07-09,6740,1344,5396,0,133092,25430,10632,14798,0,220171
2026-07-13,2026-07-10,3508,453,3055,20000,116172,12684,6775,5909,46630,179556
2026-07-14,2026-07-13,6322,960,5362,0,121534,25394,3154,22240,0,201796
2026-07-15,2026-07-14,5415,1301,4114,0,125648,8701,4246,4455,0,206251
2026-07-16,2026-07-15,14433,2321,12112,0,137760,22785,18754,4031,0,210282
2026-07-17,2026-07-16,10567,3585,6982,0,144742,15842,21861,-6019,0,204263
2026-07-20,2026-07-17,16716,1202,15514,61786,98470,24937,7721,17216,105288,116191
2026-07-21,2026-07-20,8301,41,8260,0,106730,33196,2205,30991,0,147182
2026-07-22,2026-07-21,3674,5055,-1381,0,105349,31263,1272,29991,0,177173
2026-07-23,2026-07-22,2950,3130,-180,0,105169,15248,4585,10663,0,187836
2026-07-24,2026-07-23,14206,1173,13033,0,118202,9282,4331,4951,0,192787
2026-07-27,2026-07-24,6211,546,5665,18790,106204,27000,1558,25442,31632,189860
2026-07-28,2026-07-27,12973,3617,9356,0,115560,15736,4222,11514,0,201475
2026-07-29,2026-07-28,43489,12398,31091,0,146651,44057,27288,16769,0,218244
2026-07-30,2026-07-29,12482,55276,-42794,0,103857,10925,131458,-120533,0,97711
2026-07-31,2026-07-30,5670,4588,1082,0,120102,23433,2707,20726,0,186058
2026-08-03,2026-07-31,11989,328,11661,0,131763,9932,4393,5539,0,191597
