date,prev_date,call_in,call_out,call_net,call_expired,call_total,put_in,put_out,put_net,put_expired,put_total
2026-04-23,2026-04-22,1487,317,1170,0,73126,1315,41,1274,0,52376
2026-04-24,2026-04-23,8184,743,7441,0,80567,2570,688,1882,0,54258
2026-04-27,2026-04-24,2171,396,1775,15933,68033,1395,101,1294,8822,49194
2026-04-28,2026-04-27,4115,133,3982,0,72015,2136,27,2109,0,51303
2026-04-29,2026-04-28,3275,433,2842,0,74884,1709,107,1602,0,52905
2026-04-30,2026-04-29,4774,705,4069,0,78953,2824,363,2461,0,55366
2026-05-01,2026-04-30,3844,1005,2839,0,81792,2754,455,2299,0,57665
2026-05-04,2026-05-01,5216,184,5032,14232,72592,2186,386,1800,6098,53367
2026-05-05,2026-05-04,5744,377,5367,0,78106,3319,207,3112,0,56479
2026-05-06,2026-05-05,9205,728,8477,0,86583,5545,71,5474,0,61953
2026-05-07,2026-05-06,5288,2744,2544,0,89127,3524,648,2876,0,64829
2026-05-08,2026-05-07,5791,1488,4303,0,93430,5134,1333,3801,0,68630
2026-05-11,2026-05-08,3897,329,3568,17821,79177,3330,569,2761,12774,58679
2026-05-12,2026-05-11,4393,97,4296,0,83473,3891,206,3685,0,62364
2026-05-13,2026-05-12,7648,1015,6633,0,90106,4727,602,4125,0,66489
2026-05-14,2026-05-13,5538,476,5062,0,95168,4042,808,3234,0,69723
2026-05-15,2026-05-14,5239,896,4343,0,99511,3934,1951,1983,0,71706
2026-05-18,2026-05-15,6215,91,6124,37526,68109,3085,991,2094,16340,57460
2026-05-19,2026-05-18,4234,158,4076,0,72185,2754,295,2459,0,59919
2026-05-20,2026-05-19,7403,207,7196,0,79381,1590,242,1348,0,61267
2026-05-21,2026-05-20,2235,491,1744,0,81125,586,572,14,0,61281
2026-05-22,2026-05-21,2559,564,1995,0,83120,1999,1271,728,0,62009
2026-05-26,2026-05-22,3265,227,3038,13373,110933,2651,340,2311,8421,77241
2026-05-27,2026-05-26,7846,824,7022,0,117955,2434,319,2115,0,79356
2026-05-28,2026-05-27,2177,190,1987,0,119942,1594,189,1405,0,80761
2026-05-29,2026-05-28,20098,957,19141,0,139083,3402,1417,1985,0,82746
2026-06-01,2026-05-29,7655,221,7434,17154,129363,4338,374,3964,8657,78053
2026-06-02,2026-06-01,12004,1598,10406,0,139800,3361,218,3143,0,81196
2026-06-03,2026-06-02,4473,700,3773,0,143573,4144,652,3492,0,84688
2026-06-04,2026-06-03,5245,628,4617,0,148190,1820,406,1414,0,86102
2026-06-05,2026-06-04,23706,2226,21480,0,169670,2180,626,1554,0,87656
2026-06-08,2026-06-05,3272,1481,1791,21192,150269,4636,1153,3483,9555,81584
2026-06-09,2026-06-08,5948,681,5267,0,155805,2238,1115,1123,0,82755
2026-06-10,2026-06-09,8725,2052,6673,0,162478,2138,358,1780,0,84535
2026-06-11,2026-06-10,4717,4048,669,0,163147,1030,1884,-854,0,83681
2026-06-12,2026-06-11,2934,920,2014,0,165161,2174,429,1745,0,85426
2026-06-15,2026-06-12,2550,620,1930,15251,151840,2287,281,2006,7210,80222
2026-06-16,2026-06-15,12840,1000,11840,0,163768,1764,676,1088,0,81310
2026-06-17,2026-06-16,6021,1001,5020,0,168788,1233,2209,-976,0,80334
2026-06-18,2026-06-17,2937,1697,1240,0,170028,2857,2479,378,0,80712
2026-06-22,2026-06-18,3520,661,2859,58550,114337,1868,68,1800,24938,57574
2026-06-23,2026-06-22,3698,1508,2190,0,123454,3343,204,3139,0,65499
2026-06-24,2026-06-23,3964,342,3622,0,127076,934,192,742,0,66241
2026-06-25,2026-06-24,5484,1190,4294,0,131370,1966,759,1207,0,67448
2026-06-26,2026-06-25,12618,1294,11324,0,142694,1632,938,694,0,68142
2026-06-29,2026-06-26,4522,582,3940,17007,129669,1991,376,1615,7458,62329
2026-06-30,2026-06-29,15039,786,14253,0,143922,2103,371,1732,0,64061
2026-07-01,2026-06-30,3097,1198,1899,0,145821,2906,260,2646,0,66707
2026-07-02,2026-07-01,8497,5933,2564,0,148385,2250,883,1367,0,68074
2026-07-06,2026-07-02,4299,1220,3079,18192,133272,1969,263,1706,5424,64356
2026-07-07,2026-07-06,5017,231,4786,0,138178,1764,374,1390,0,65746
2026-07-08,2026-07-07,5079,442,4637,0,142815,2182,214,1968,0,67714
2026-07-09,2026-07-08,3658,708,2950,0,145765,2355,281,2074,0,69788
2026-07-10,2026-07-09,3998,821,3177,0,148942,1961,523,1438,0,71226
2026-07-13,2026-07-10,3684,293,3391,12495,139838,1426,159,1267,6581,65912
2026-07-14,2026-07-13,3312,517,2795,0,142633,1561,334,1227,0,67139
2026-07-15,2026-07-14,3749,90,3659,0,146292,1292,152,1140,0,68279
2026-07-16,2026-07-15,1140,768,372,0,146694,1460,166,1294,0,69573
2026-07-17,2026-07-16,2772,1922,850,0,147544,2002,563,1439,0,71012
2026-07-20,2026-07-17,3202,495,2707,39704,110547,1402,103,1299,21439,50872
2026-07-21,2026-07-20,6714,5047,1667,0,112214,7099,102,6997,0,57869
2026-07-22,2026-07-21,3256,246,3010,0,115224,1176,113,1063,0,58932
2026-07-23,2026-07-22,2555,1846,709,0,115933,2146,366,1780,0,60712
2026-07-24,2026-07-23,4515,304,4211,0,120144,1030,1197,-167,0,60545
