date,prev_date,call_in,call_out,call_net,call_expired,call_total,put_in,put_out,put_net,put_expired,put_total
2026-04-23,2026-04-22,135603,9928,125675,0,1779442,143243,5031,138212,0,1439712
2026-04-24,2026-04-23,300514,30203,270311,0,2049753,121758,30859,90899,0,1530611
2026-04-27,2026-04-24,235712,4167,231545,489303,1896324,201508,5042,196466,380433,1436007
2026-04-28,2026-04-27,223054,6356,216698,93939,2019083,130899,6279,124620,87277,1473350
2026-04-29,2026-04-28,167383,4231,163152,0,2183629,69631,5784,63847,0,1539255
2026-04-30,2026-04-29,75365,10695,64670,188812,2059697,61657,8451,53206,101940,1491650
2026-05-01,2026-04-30,150651,13765,136886,0,2196583,94845,10878,83967,0,1575617
2026-05-04,2026-05-01,153655,25369,128286,515636,1810226,189478,5957,183521,335232,1424063
2026-05-05,2026-05-04,195656,6632,189024,77885,1921365,95989,3593,92396,76448,1440011
2026-05-06,2026-05-05,172408,9204,163204,0,2086158,94009,9104,84905,0,1526505
2026-05-07,2026-05-06,132633,27581,105052,151411,2040780,74814,10086,64728,83687,1507839
2026-05-08,2026-05-07,134541,42615,91926,0,2132706,89850,14218,75632,0,1583471
2026-05-11,2026-05-08,190176,47220,142956,391340,1885419,222101,13844,208257,320286,1471684
2026-05-12,2026-05-11,223092,34919,188173,98149,1975443,166179,11324,154855,75150,1551389
2026-05-13,2026-05-12,248627,14832,233795,0,2217577,109651,9048,100603,0,1654131
2026-05-14,2026-05-13,138132,43648,94484,175057,2138740,120398,11465,108933,119928,1644723
2026-05-15,2026-05-14,163741,17355,146386,0,2285126,82407,10129,72278,0,1717001
2026-05-18,2026-05-15,178073,14640,163433,747614,1700945,181684,6380,175304,589889,1302416
2026-05-19,2026-05-18,220121,7578,212543,105783,1807705,156226,6593,149633,82089,1369960
2026-05-20,2026-05-19,298405,34233,264172,0,2074326,116299,8556,107743,0,1478359
2026-05-21,2026-05-20,134532,31526,103006,215185,1963047,75234,8849,66385,121093,1424060
2026-05-22,2026-05-21,162793,24721,138072,0,2101119,85017,18295,66722,0,1490782
2026-05-26,2026-05-22,195048,13691,181357,502500,1975219,175423,7297,168126,381786,1495305
2026-05-27,2026-05-26,173970,27322,146648,136210,1985657,97630,3892,93738,74424,1514619
2026-05-28,2026-05-27,165180,27415,137765,98025,2028615,71321,7106,64215,61590,1518986
2026-05-29,2026-05-28,139914,18178,121736,0,2150351,82802,12855,69947,0,1588933
2026-06-01,2026-05-29,124879,19252,105627,426559,1829555,176965,5634,171331,331636,1428792
2026-06-02,2026-06-01,232158,25231,206927,75019,1961463,96668,9415,87253,61074,1454971
2026-06-03,2026-06-02,126536,14407,112129,0,2076194,58971,5944,53027,0,1512761
2026-06-04,2026-06-03,73952,12891,61061,115698,2023279,54358,3618,50740,70022,1493510
2026-06-05,2026-06-04,154536,17126,137410,0,2160689,59384,13246,46138,0,1539648
